,matchid
0,2985283284
1,2985248504
2,2985255107
3,2985241812
4,2984941256
5,2984858619
6,2984831426
7,2984610283
8,2984560443
9,2984507615
10,2984481915
11,2984444229
12,2984394388
13,2984373772
14,2984346440
15,2969978825
16,2969962998
17,2969936323
18,2969899559
19,2969902778
20,2969877014
21,2969865727
22,2969860539
23,2969853654
24,2969829754
25,2969722088
26,2969706487
27,2969671086
28,2969611753
29,2969536649
30,2969526873
31,2969500625
32,2969441679
33,2968787305
34,2968763015
35,2968697825
36,2968671272
37,2968624004
38,2968572743
39,2968529444
40,2968487586
41,2968255298
42,2968235618
43,2967596448
44,2967546902
45,2967534310
46,2967501124
47,2967462397
48,2967439843
49,2967366228
50,2967331989
51,2967278592
52,2967255359
53,2967225350
54,2967196551
55,2967164466
56,2967135261
57,2967104348
58,2967086409
59,2967049239
60,2967033145
61,2967023389
62,2967000262
63,2966995303
64,2966793079
65,2966765664
66,2966736296
67,2966713874
68,2966609288
69,2966557306
70,2966521781
71,2966500250
72,2966454781
73,2966407911
74,2966298434
75,2966283694
76,2966266686
77,2966075626
78,2966079832
79,2966046319
80,2966028372
81,3210786698
82,3210760828
83,3210745145
84,3210687584
85,3210405498
86,3210203012
87,3210171684
88,3209633745
89,3209569322
90,3209585530
91,3208258735
92,3208282920
93,3208270294
94,3208066775
95,3208054784
96,3206577549
97,3206479218
98,3206522853
99,3206489760
100,3206166411
101,3204214787
102,3203984606
103,3202149651
104,3199499241
105,3198634417
106,3188448282
107,3179334887
108,3179288881
109,3177974439
110,3177959625
111,3177919031
112,3177945345
113,3177908865
114,3177109611
115,3177115488
116,3176773901
117,3175280015
118,3174916938
119,3174890911
120,3171414029
121,3171368362
122,3171344556
123,3171380681
124,3171315029
125,3171321936
126,3171258795
127,3170755765
128,3170731780
129,3170706506
130,3170712150
131,3170037556
132,3170024387
133,3170030762
134,3168956617
135,3168787781
136,3168698964
137,3168662986
138,3168587505
139,3168621309
140,3168571234
141,3168504509
142,3168461760
143,3168448104
144,3168444905
145,3166862326
146,3166813985
147,3166781191
148,3166307204
149,3166283492
150,3165572159
151,3165519324
152,3165535543
153,3165506116
154,3165551690
155,3165540062
156,3165509965
157,3165337512
158,3165343026
159,3164959490
160,3164944637
161,3164711470
162,3164675802
