,matchid
0,3211930679
1,3209949093
2,3209893669
3,3209837292
4,3208784415
5,3208750194
6,3208692496
7,3208021756
8,3207997300
9,3207974099
10,3207928286
11,3207886292
12,3205701537
13,3204839611
14,3202741477
15,3195556343
16,3193276185
17,3192479477
18,3192430985
19,3192328422
20,3192275415
21,3192270517
22,3192202653
23,3191546502
24,3191457305
25,3191408841
26,3190033037
27,3189907066
28,3189840554
29,3189708056
30,3188573779
31,3188518885
32,3188498340
33,3188120302
34,3170924534
35,3170221717
36,3170210171
37,3170174515
38,3169294048
39,3165497652
40,3164047066
41,3164016858
42,3163714310
43,3163671866
44,3163463672
45,3163442435
46,3163396422
47,3161507799
48,3161050009
49,3159663240
50,3159659923
51,3159627552
52,3158986733
53,3158984443
54,3158973677
55,3158638432
56,3158630791
57,3158622565
58,3158576200
59,3156935139
60,3156921965
61,3156897936
62,3137746606
63,3137479353
64,3137446712
65,3137405856
66,3135552138
67,3135444610
68,3135246840
69,3135223634
70,3134941642
71,3129582553
72,3129572512
73,3125054264
74,3125016857
75,3124988638
76,3122391046
77,3114299892
78,3114246480
79,3112004889
80,3111956548
81,3111613771
82,3111560756
83,3111476516
84,3110604962
85,3110514893
86,3107902719
87,3107852635
88,3107839660
89,3048262009
90,3048243258
91,3044982429
92,3044944084
93,3004198764
94,3004206441
95,3004185310
96,3003350371
97,3003331318
98,3003295201
99,3003278418
100,3023503556
101,3022034988
102,3021805741
103,3021752681
104,3021672607
105,3021609034
106,3021501415
107,3020501962
108,3020293007
109,3020248116
110,3020157534
111,3019810274
112,3019757493
113,3019759955
114,3019687614
115,3019565236
116,3019034289
117,3018952643
118,3018854336
119,3018766290
120,3018660276
121,3018585834
122,3018589990
123,3018456790
124,3017363240
125,3017303956
126,3017188251
127,3016376782
128,3016334824
129,3015801160
130,3015128736
131,3015095247
132,3013160759
133,3012848494
134,3012844497
135,3012336950
136,3012268387
137,3011539791
138,3011409086
139,3011398939
140,3010776902
141,3010747786
142,3010744773
143,3010708110
144,3010696266
145,3010071626
146,3010046983
147,3010019891
148,3009990752
149,3009946959
150,3009090458
151,3009055184
152,3009034055
153,3008495282
154,3008461170
155,3008439258
156,3008446171
157,3007877980
158,3007876284
159,3007839267
160,3007038577
161,3007049847
162,3006467019
163,3006465610
164,3005798469
165,3005472598
166,3004870794
167,3004839201
168,3004234883
169,3004209934
170,3002926791
171,3002644817
172,3002563176
173,3001879066
174,3001746284
175,3001154042
176,3001066763
177,3000919183
178,3000728694
179,3000713081
180,2998515057
181,2995228822
182,2992059759
183,2991149979
184,2969740022
185,2969059501
186,2967247588
187,2966905184
188,2966854638
189,2966112687
190,2966075936
191,2965033478
192,2964804590
193,2964742845
194,2964693265
195,2964528059
196,2963217816
197,2963213113
198,2962564508
199,2962122111
200,3118709196
201,3093005286
202,3073131274
203,3039285016
204,3034758745
205,3034744637
206,3034731042
207,3034685963
208,3034415465
209,3033223054
210,3033196466
211,3033171007
212,3032434788
213,3032424496
214,3031594129
215,3031477989
216,3031133447
217,3030898766
218,3030886068
219,3030858956
220,3030591276
221,3030567402
222,3029078310
223,3029058592
224,3029055740
225,3028977866
226,3028974257
227,3028936627
228,3028908834
229,3028882166
230,3028840314
231,3028724143
232,3028562993
233,3028561280
234,3028515576
235,3028509742
236,3028484902
237,3028459719
238,3028459955
239,3028425011
240,3028414220
241,3028387527
242,3028215939
243,3027903670
244,3027895801
245,3027890672
246,3027695864
247,3027709988
248,3027684728
249,3027657236
250,3027641003
251,3027610596
252,3027581453
253,3027399298
254,3027379355
255,3027373277
256,3027332396
257,3027325071
258,3027311899
259,3027292669
260,3027248362
261,3027156540
262,3027107272
263,3027059693
264,3027018283
265,3027002411
266,3026974468
267,3026963762
268,3026936244
269,3026837219
270,3026819353
271,3026794958
272,3026788307
273,3026739383
274,3026734123
275,3026554482
276,3026531557
277,3026385707
278,3026399941
279,3026247738
280,3026031272
281,3026014524
282,3025473111
283,3025368580
284,3024988447
285,3025000227
286,3024904529
287,3024874079
288,3024716009
289,3024442363
290,3024391708
291,3024351372
292,3024331738
293,3024250989
294,3024235410
295,3024231529
296,3024215599
297,3024211644
298,3023941488
299,3023888848
300,3123635737
301,3123632391
302,3123569279
303,3123504251
304,3123502616
305,3122751215
306,3122735073
307,3122696405
308,3122689992
309,3122672024
310,3122647555
311,3122643285
312,3122604866
313,3121729792
314,3121635700
315,3121568741
316,3121583578
317,3121249640
318,3121217486
319,3116839586
320,3116816365
321,3116781441
322,3116704969
323,3116666976
324,3116575535
325,3116520680
326,3116290737
327,3116271441
328,3116234420
329,3116192765
330,3116145615
331,3116121224
332,3115202983
333,3115194192
334,3115147270
335,3114910147
336,3113582908
337,3113566633
338,3113527970
339,3111854522
340,3111851440
341,3111109309
342,3091031221
343,3090918052
344,3090878937
345,3090849581
346,3090811671
347,3090654083
348,3089810704
349,3089777172
350,3085642258
351,3085106607
352,3085058095
353,3084969589
354,3083808461
355,3083779116
356,3083771068
357,3083280989
358,3082807969
359,3082787777
360,3082779956
361,3082715630
362,3082687040
363,3082681075
364,3082436773
365,3082429929
366,3082384026
367,3082057806
368,3082022674
369,3081979486
370,3081946185
371,3081902115
372,3081819196
373,3081777376
374,3080941938
375,3080805063
376,3080766769
377,3080714469
378,3080678078
379,3080638260
380,3080615105
381,3080571691
382,3079676466
383,3079647217
384,3079587834
385,3079555149
386,3079525743
387,3079468256
388,3077791005
389,3077774775
390,3077754353
391,3077716413
392,3077231361
393,3077180253
394,3076852923
395,3076823149
396,3076772420
397,3076740028
398,3076635205
399,3076546735
400,3211632356
401,3210525508
402,3208185957
403,3207594758
404,3206586395
405,3206479551
406,3205714989
407,3204830742
408,3203468106
409,3203268378
410,3202961600
411,3202630134
412,3193894874
413,3186185895
414,3180158792
415,3180007175
416,3173755173
417,3173749342
418,3173057242
419,3173051900
420,3172551074
421,3172527568
422,3171944892
423,3171878384
424,3171883845
425,3171435477
426,3170256172
427,3170249442
428,3170029198
429,3169307928
430,3169321202
431,3169266498
432,3169175220
433,3168699293
434,3168654031
435,3166783717
436,3166728691
437,3166724207
438,3166320968
439,3166186769
440,3166185196
441,3165968914
442,3164296478
443,3162964367
444,3162059532
445,3161974887
446,3161954455
447,3161800968
448,3161775594
449,3161746158
450,3160824347
451,3160785668
452,3160762068
453,3160715118
454,3160709941
455,3160698628
456,3160687602
457,3160493978
458,3160380725
459,3160189360
460,3160127213
461,3159345987
462,3159302922
463,3159179254
464,3157710845
465,3157116233
466,3157069183
467,3156339631
468,3156315882
469,3156277349
470,3156014125
471,3155968322
472,3155963490
473,3155222024
474,3155201777
475,3155152628
476,3155123197
477,3155081467
478,3155034015
479,3155013285
480,3154986656
481,3154990216
482,3154776439
483,3154756824
484,3154716978
485,3154679019
486,3154050057
487,3154036034
488,3152518877
489,3151921813
490,3151895316
491,3151853892
492,3151031547
493,3150978754
494,3150961451
495,3150728126
496,3150719477
497,3150309685
498,3150278604
499,3150268592
500,3210729661
501,3210704989
502,3210639072
503,3210651617
504,3210615635
505,3209961005
506,3209856757
507,3209899945
508,3209784832
509,3209679482
510,3209721663
511,3209579440
512,3209565415
513,3209510873
514,3209427253
515,3209423814
516,3109879835
517,3109774419
518,3109455307
519,3109424206
520,3109390002
521,3109337843
522,3108175101
523,3107925267
524,3107895012
525,3107863921
526,3107834096
527,3107802875
528,3107759592
529,3107728296
530,3107516437
531,3107477921
532,3107470223
533,3106720702
534,3106648891
535,3106553285
536,3106543546
537,3106511501
538,3106473008
539,3106454860
540,3106425981
541,3106415004
542,3106379074
543,3106099528
544,3106095316
545,3106059580
546,3106042109
547,3106017098
548,3106009778
549,3105983597
550,3105970999
551,3105899229
552,3105875523
553,3105832051
554,3105800367
555,3105771531
556,3105763605
557,3105222534
558,3105193037
559,3105144487
560,3105124516
561,3105102959
562,3105072476
563,3105032460
564,3105000379
565,3104170086
566,3104165305
567,3104160412
568,3104124124
569,3104106341
570,3104076810
571,3104045339
572,3103998116
573,3103986839
574,3103943875
575,3103910665
576,3103857728
577,3103824939
578,3103797926
579,3103306083
580,3103287873
581,3103296127
582,3103270863
583,3103249847
584,3103213226
585,3103185946
586,3103175621
587,3103145956
588,3103104468
589,3103061431
590,3102460942
591,3102353265
592,3102298042
593,3102140629
594,3102076823
595,3102055957
596,3102021921
597,3101973629
598,3101941544
599,3101906223
600,3211843764
601,3211808616
602,3211453296
603,3211279344
604,3211276919
605,3211332266
606,3211178136
607,3211153860
608,3210802609
609,3210727284
610,3210699805
611,3210676537
612,3210680165
613,3210126677
614,3208778215
615,3208770480
616,3208699072
617,3208720197
618,3206817255
619,3204930156
620,3204903460
621,3204832615
622,3204567933
623,3203912472
624,3203836179
625,3203753159
626,3203057085
627,3203050361
628,3202976529
629,3202999774
630,3200423165
631,3199610623
632,3199546411
633,3199499709
634,3199501212
635,3197556269
636,3197543318
637,3197488223
638,3197493337
639,3197292004
640,3197236791
641,3196688368
642,3196670473
643,3196627900
644,3196127584
645,3195991906
646,3194623571
647,3194603158
648,3194514812
649,3194369023
650,3194106450
651,3194111230
652,3194046034
653,3193987179
654,3193878385
655,3193428431
656,3193392497
657,3191653034
658,3190058152
659,3190060637
660,3189998627
661,3189993118
662,3189900561
663,3189827017
664,3189253533
665,3189211430
666,3188272944
667,3188270087
668,3188214250
669,3188189333
670,3188204781
671,3188117398
672,3188145072
673,3186887956
674,3185907916
675,3185942906
676,3185837958
677,3184790354
678,3184763755
679,3184704371
680,3184636429
681,3184578316
682,3184576344
683,3184528464
684,3184045725
685,3184042581
686,3183989466
687,3183964073
688,3183926656
689,3182652397
690,3182559234
691,3182591288
692,3182356328
693,3182289400
694,3182150582
695,3181489783
696,3181453870
697,3180774918
698,3180675069
699,3179677450
700,2978808544
701,2978778121
702,2978728390
703,2978167992
704,2978174178
705,2978139460
706,2978127186
707,2978114636
708,2977990611
709,2977742892
710,2977706695
711,2977711914
712,2977676587
713,2977656777
714,2977651458
715,2977620148
716,2977586491
717,2977575727
718,2977583040
719,2977437585
720,2977418364
721,2977378576
722,2977359715
723,2977237658
724,2977230171
725,2977189926
726,2977160516
