,summonerId,summonerName,accountId,puuid
0,FNhEPAGJSSVW58zXbgdO-B7FX4eONIyaiGerQrJ0JJVcZK9v,Greasytrees,VcIqwZEkLE3cdtNe3oYRz_XtIp6tksygf9ttbB2lrberibPNZQeJzYlN,5_hi6Jh2ziPSuPX-Z-mrS2ttMQVsOOe1qpWzLaNlY8_5Qlg29i4ZI8meD_hH0LEQtSfOAcyd2o4Rpw
1,T2AM_LRdFrrMdwSW1LRaK4m6ZPXyOTW7-_hVZetb3CgIiDeh,shushu25,_036505-OJeCdkHsFy4UtCne6I0HieyP3t_T2jd2FDk91I2HXyFwNso1,-ca3t-1SAX8AK9gmMHas_VPKGZ6qEQjRRbCE2jXEkqb264gp4KJIviLzv8oj9pabzd09XiWfcocBhA
2,9Sad-0QgjABZhC8SrZhQuJM2mAYybU78XpHaIyflwhDrb-vy,Hendrick Reycke,XHdtekE-8F8k-6bU9azo4X8tRDB_CKKe9R7ucyKVnyUFXczHog3CdH35,7z1JmYRoih4Hg93ALYVpRV02oasIoOWjTfuED-dHdvUfBD3cYgQBe7X5KJ1xcrZyRUC7C09BI72G8A
3,j3rKdlHhrwtSCWr2ypnRxbl-8DUvrmJRKszI6McvBm-lxTFc,Frankieyoyo,2-GZeN1AegOPqbRuYx_S2Y_kAxxPLt-l-a1L_yXbwNgbT0_fxymaRPci,VNrBHJc7A6tel83EotvpcRHwKNCSnfUpNkOmniESzkHu-bE0MKFHDsFpRmvG4msn4EKuSQUG2QzJlA
4,-DFBqsrV0I-Z-srZQifGd1e2VyiYYd1wIg1VxEJlfxL58JaM,TheHornedLizard,iGOU3BYM2reJaB7j5mwpGIxCHhtmYbk2z4_1IdgnMxf3dwjG-4DSZcsR,oANSrK7teLLwy2_lJNbm_ss7_yFoKg0DD0jE-Rbpf4tZme1bSinys8Z6VpTRt1AoUQxYQrcXJ2lw4A
5,kfqHXpcHe3ZGt1xx2PkgVs0c9ZRrkJDqhRDNYQuGD1gPzbyC,Prisoner Sylas,RPhjZaILbdyOVbtLOi21sw8qCxHUtbFI75xtrwQj7EOZsbPoMvEYBYfx,dlm1UGhfUErtsIvuFM8t7TLaI9cI06WNwx7NzWQEH7vTTGp7rTRzI_mwvGfPEPG_5ETeMt0gDiyIfQ
6,oFZea6T7NbeBctCxTTb0O_MxEh0G1B_xfBUgjNbttfu3Qp9q,CamillehMfH,Pc4sY3r8A73ABzEemaqm3YXr9RY5KR1QhVNBjO-QsUseIKoRCZpcsnid,0zdk3ZVIOBbOTR3bHaDZ6hmF-dcCIm65iuB2jKrHjL0-e1w0RyGF_x-FEt-0GIkx7b5iPsIfZU2T5g
7,d8UuSOUZJk2mRxrduzC7-MgTicjEpIevBIOWWD0n9HkTDqIK,Ranokoz,mFKNLxYz5CLCIpnYtgkdNkWUSgmzEjcCNGmEJgKB8wjLRRBmic3IQubB,QbEhKJfzoaDnL4-hQbA6xhTVn1Xwg1YfPLqcPDgI3qUJhVCXXQNZHVYf0QPexJi42iKxT9tScGMRlQ
8,GB_ssw_fXWBj7bPPeOjTnzKJWBJa3kyJnv3ZtsDTSWBMafcq,Dàø Míng Sì,Lub5sB-Ku5u4_4ojgBnuXUqX0mvZ2CsokE3rFiPQrbverKRig0TzOf92,oDiULpDRcHUygaWq3MbnNDe9_VavQojz5NInCLZV7USO_ANPzxKzyhE7rvYiJtdrj9p4QOMxOZY8Vw
9,zd23jub2O1QVcWVF8bfFYJHw0kqhSzm7DVQRa1OyfWELTmoH,Badwoman OnO,QlsjV-YGDHfBwH8W92xA-XOuCcaxqy4vp6GqfvbJEED6wAMbo4kqXMda,tKXzFJCRLevqy06hDIhfA8b2of09NOsy5bQIzPWEvPtGQFLDSzawrFvMqrDynUudPMTlXjGoL1uFgg
10,1Qe-zPnEU-RNJ1QGY3KkK6t7YFtksZku53hpBtgQAOOI3T0s,The Bon Dui,X0Kx061pHuOb8cQje9KzQ3KCyYNuDE6yDMkDAzEqOJezqZDt-mzRUDgs,wEtqi53vbdCs2Q9kd5P-KBpkcI5l9FWDLZhBc4TAAqUao5TuGb3z0qlXuYFsWCmapG5BSpYNqFaSkw
11,tfOuivXEANWNGRzKDDp4uA0-8wzDx5gmb-nc1g2hqXijjX5M,NoEssentialToWin,vZ8S8TLEP2--vvaGS9BnSKnNYvPjPp_kIV22Wr501OzUnhlqJSftC1ck,ZtwjDVyV2hoV97xDJ5bdd8Mcp-ri46yS5PBYkU_zVg90OvGu8Lj6UVHx0tmvt2B4csmcyNRilL3iBA
12,a_cCUWTj1LJUkvCBq24TEBoKJmLv050u04eryMd269QvYLWR,Deceptive Hatred,YwVIZa6-GcuPq3g-aXITVMkGkjnWs5JNKdteqLgNVWFa0xrMEBIHvl9N,kBJqy1FN4J3okKrw_Gp6Jwd-ejfVjhLjcYoDBwgwYy9FMhO4an8kIgwWQRtISs1Kk8MzrwNOJPnFWQ
13,y67JEwpKTdRQylOFalMG-_rP1aPArlO5ib5P9mnAK1VAW6lf,KayPengu,0ZdamaFQXs9qQNpr0ygw3uVf2d1cZ6I0NLfXbjZvHMfAqS-4x9GoOjxc,RnDc0F0SUauO7glj0xbyqt3gYOhSEqSJJICNC1MnzYqI3RoDnB2swmZCH26MlKuNw96kdpG79Hb3cw
14,TThtVIbbh_cqREaDKUNj3Umm0_DMU5EgY62SJHvih3PJ7_jR,lllll1ll4lll8ll8,tYf-Ej0pPNrPNhzKzGjQcFumqZS2UqHeqWFGr3-AiC8RWiA0j0wvdGj2,y_B8qciFAGvJuUWUeac_pRnDiiQiJSgNWcvB21Vbk_ICHD6xvcA8nd-h9RXBc9WVyhozE-IgFdFRNg
15,TVYE3_nplbCYoWjD-y12LdEj48jWppm7QGW5BbQu-lIXoUCI,l Kim Chungha l,tAqUTNL6xbcA964rwWFE-ILFGo_B6GQHB3foIeN6KaPq7Xipw3rOSQd1,-UK4biOaFnujoeZUSTpuyy1-Euu2nuaJbRPl8LESwqGqkbO6g1XYNZc7FKLJzlHBHdZPiFntoNUD_w
16,UhPK_Sp_liIAfdn7hboLCXnnZzMsvOj_X4O9_jZkrlE2qD2Z,KiraYosikage,7n4ttE83USgrC3_Y0KcyG0zirsmJasRG1o-Th5n_mFLvGoDp5lP9ydsj,EmOwTVJwtAqoWTT_5-QBDMAOzB7Uls3sebwZlYvPHUeWtlPRgeXsEH0sAYiBtK6y-gHp-bK4Tf3_TQ
