,matchid
0,3166007777
1,3165993749
2,3150682059
3,3150637959
4,3150618307
5,3150598688
6,3150593919
7,3150558324
8,3150545029
9,3150551052
10,3150384152
11,3150337092
12,3150329820
13,3150311910
14,3150294412
15,3150263451
16,3150233817
17,3150196040
18,3150164913
19,3150130924
20,3150105022
21,3150074836
22,3150036966
23,3150018076
24,3150009736
25,3149973661
26,3149945241
27,3149914205
28,3149888574
29,3149869395
30,3149861546
31,3149842115
32,3149799502
33,3149792087
34,3149767503
35,3149761810
36,3149733845
37,3149708956
38,3149101295
39,3149061404
40,3149052718
41,3149007764
42,3149002284
43,3148993065
44,3148981491
45,3148945165
46,3148927836
47,3148909151
48,3148902271
49,3148855353
50,3148870878
51,3148528742
52,3148521139
53,3148477583
54,3148438733
55,3148426748
56,3148382011
57,3147785066
58,3146389595
59,3145917126
60,3145914769
61,3145911914
62,3145857363
63,3145874012
64,3145859748
65,3145794575
66,3145727925
67,3145733068
68,3145664185
69,3145566252
70,3108838068
71,3108813684
72,3108821164
73,3108729791
74,3108691483
75,3108090102
76,3108082895
77,3108060383
78,3108056695
79,3108054103
80,3108007705
81,3108012007
82,3107985643
83,3107968834
84,3107951954
85,3107406806
86,3107388166
87,3107289198
88,3107292853
89,3107209336
90,3107234628
91,3107193468
92,3107128469
93,3107066926
94,3107064121
95,3107120159
96,3106988247
97,3106978220
98,3106982563
99,3106918773
100,3208597626
101,3208600935
102,3208498899
103,3208417192
104,3208411754
105,3208168189
106,3208175563
107,3207999758
108,3207790984
109,3207048819
110,3206994857
111,3206964046
112,3206952855
113,3206990833
114,3206908739
115,3206926296
116,3206077776
117,3205722953
118,3205635819
119,3205662042
120,3205293407
121,3205063323
122,3205027860
123,3205003404
124,3204947843
125,3204950534
126,3204897092
127,3204873521
128,3204816209
129,3204796362
130,3204710751
131,3204644386
132,3204598487
133,3204604079
134,3204559605
135,3204516804
136,3204490307
137,3204429060
138,3204407498
139,3204405761
140,3204442618
141,3203876962
142,3203920339
143,3203853974
144,3203788807
145,3203760034
146,3203731568
147,3203554826
148,3203520789
149,3203464915
150,3203436662
151,3203350562
152,3203326247
153,3203282238
154,3203210306
155,3202951861
156,3202878306
157,3202755931
158,3202750667
159,3202683002
160,3202168549
161,3202200146
162,3202040191
163,3201985987
164,3201972271
165,3201947066
166,3201914544
167,3201911318
168,3201888357
169,3201824280
170,3201813094
171,3201810941
172,3201738938
173,3201764214
174,3201741924
175,3201697581
176,3201693048
177,3201681376
178,3201663847
179,3201610637
180,3201364013
181,3201319764
182,3201272071
183,3200954392
184,3200951681
185,3200358586
186,3200333787
187,3200281847
188,3200234093
189,3199612997
190,3199548797
191,3199533517
192,3199487760
193,3199501396
194,3199447050
195,3199453387
196,3199387399
197,3199380929
198,3199157831
199,3199120191
200,3210662906
201,3210626264
202,3210413609
203,3210399962
204,3210385434
205,3210353093
206,3210329342
207,3210298855
208,3210285967
209,3210274197
210,3209667331
211,3209612474
212,3209482351
213,3209394393
214,3209380441
215,3209185852
216,3208765365
217,3208716566
218,3208701111
219,3208615747
220,3208589033
221,3208301494
222,3208229040
223,3208194997
224,3208221888
225,3207605631
226,3207146975
227,3207143690
228,3207140757
229,3207126798
230,3207074762
231,3207122009
232,3206585142
233,3206559888
234,3206524989
235,3206295479
236,3204708657
237,3204714476
238,3204649257
239,3204651523
240,3204541945
241,3204494698
242,3204492131
243,3204428827
244,3204426541
245,3204413702
246,3203819043
247,3203820474
248,3203780950
249,3203722683
250,3203459254
251,3202859576
252,3202853645
253,3201165889
254,3201140696
255,3196649838
256,3196603650
257,3196516381
258,3195601050
259,3195543217
260,3195560544
261,3195474199
262,3195399494
263,3195376313
264,3195328895
265,3194973836
266,3194967254
267,3194915238
268,3194261889
269,3193899342
270,3193896472
271,3193893878
272,3191935479
273,3191934777
274,3190244662
275,3189190096
276,3187580534
277,3186769828
278,3186617233
279,3186660003
280,3186333165
281,3186297297
282,3186249399
283,3183730694
284,3183460312
285,3182108305
286,3181732294
287,3181694006
288,3179479239
289,3179492352
290,3157615917
291,3157568172
292,3157571285
293,3157554717
294,3157508394
295,3157484832
296,3157468959
297,3157462469
298,3157416161
299,3157110369
300,3201302637
301,3201129276
302,3199593587
303,3199588354
304,3199583784
305,3199550367
306,3199505330
307,3199470146
308,3199040859
309,3198975715
310,3198782075
311,3198748119
312,3198691892
313,3198636239
314,3198609701
315,3198623450
316,3198601828
317,3198059698
318,3197188550
319,3197211030
320,3197147499
321,3197133574
322,3197067671
