,matchid
0,3165589427
1,3165577483
2,3165592785
3,3165558877
4,3164008849
5,3163968455
6,3163536328
7,3163531704
8,3163489841
9,3163435553
10,3163440563
11,3163377990
12,3163372455
13,3162827317
14,3162870425
15,3162708436
16,3162684991
17,3162700962
18,3162535778
19,3162523002
20,3162549809
21,3162447742
22,3162444263
23,3162407823
24,3162403383
25,3162358722
26,3162345456
27,3162342058
28,3162309342
29,3162325794
30,3162304621
31,3161668109
32,3161644069
33,3161624161
34,3161597018
35,3161579526
36,3161564784
37,3161551505
38,3161543975
39,3161038288
40,3160999371
41,3160947287
42,3160906019
43,3160886749
44,3160860786
45,3160838520
46,3160831330
47,3160801680
48,3160771924
49,3160755218
50,3160718712
51,3160714287
52,3160708725
53,3159970590
54,3159921478
55,3159911167
56,3159862708
57,3159845740
58,3159809368
59,3159811209
60,3159799173
61,3159783427
62,3158548362
63,3158563029
64,3158561201
65,3158515245
66,3158488599
67,3158482435
68,3157643296
69,3157595141
70,3157576182
71,3157558072
72,3157498855
73,3157483103
74,3157457791
75,3156121632
76,3156094050
77,3156070882
78,3156005189
79,3156019767
80,3155936145
81,3155341311
82,3155302060
83,3155275099
84,3155256166
85,3155235071
86,3155200266
87,3155173013
88,3155144741
89,3155098414
90,3155106459
91,3155089760
92,3155072983
93,3155045695
94,3155019599
95,3155005298
96,3154977585
97,3154981993
98,3154413414
99,3154387147
100,3089233096
101,3089211043
102,3089165937
103,3084516733
104,3084512007
105,3083494207
106,3083480573
107,3083429046
108,3083416183
109,3082504021
110,3082457704
111,3081071211
112,3081040913
113,3080964657
114,3080886228
115,3080827287
116,3080793505
117,3080118690
118,3080057413
119,3078350350
120,3078293149
121,3075200940
122,3075174372
123,3074748628
124,3074255959
125,3074243007
126,3073309037
127,3071673958
128,3070953236
129,3070941471
130,3070906064
131,3070920758
132,3070892765
133,3070845407
134,3070437850
135,3070440538
136,3070397665
137,3070229654
138,3070223126
139,3069953593
140,3069897572
141,3069795991
142,3069681763
143,3069592934
144,3069466016
145,3069462848
146,3069407931
147,3069406050
148,3069411568
149,3069392033
150,3069379558
151,3069381470
152,3069362222
153,3069358237
154,3068734075
155,3068750616
156,3068322664
157,3068295017
158,3068258222
159,3068261012
160,3068235396
161,3068195940
162,3068071734
163,3068068717
164,3068066831
165,3068055542
166,3068052346
167,3067984787
168,3067915395
169,3067894135
170,3067223896
171,3067218214
172,3067202346
173,3067106419
174,3067114706
175,3067113122
176,3067120540
177,3067078166
178,3067093908
179,3067067743
180,3067053098
181,3067032916
182,3066970454
183,3066913030
184,3066884302
185,3066853727
186,3066710667
187,3066684554
188,3066656172
189,3066475478
190,3066493272
191,3066471801
192,3066427156
193,3066413711
194,3066397130
195,3066347459
196,3066340626
197,3066313384
198,3066275662
199,3065688289
200,3098609711
201,3082432167
202,3082401596
203,3082355705
204,3082296753
205,3082239584
206,3082188965
207,3076440246
208,3076434267
209,3076398345
210,3076400874
211,3076354561
212,3076328688
213,3076331018
214,3076290612
215,3076262662
216,3076254570
217,3076203525
218,3076157184
219,3076119126
220,3076097809
221,3075206072
222,3075189876
223,3075098798
224,3075085519
225,3075056502
226,3075033744
227,3075022760
228,3073956067
229,3073961535
230,3073936641
231,3073929881
232,3073910730
233,3073869157
234,3073860425
235,3072425686
236,3072423366
237,3072409059
238,3072407662
239,3072405353
240,3072385477
241,3072392551
242,3072359310
243,3072364567
244,3072348826
245,3072334351
246,3072314247
247,3071303905
248,3071259029
249,3071228198
250,3071211142
251,3071174557
252,3070317312
253,3070313773
254,3070299389
255,3070296887
256,3070287481
257,3070275419
258,3070273614
259,3070271556
260,3070178356
261,3070160940
262,3070140624
263,3070104623
264,3070073183
265,3070027853
266,3069977899
267,3069959598
268,3069928975
269,3069921193
270,3069827669
271,3069790804
272,3069684864
273,3069597060
274,3069592806
275,3069516287
276,3069521320
277,3069503811
278,3069362897
279,3069361517
280,3069339692
281,3069335034
282,3069350526
283,3069319198
284,3069315659
285,3069311721
286,3069274693
287,3069262873
288,3069215786
289,3069207787
290,3069177428
291,3069128636
292,3069118918
293,3069092336
294,3069038993
295,3069032343
296,3068966357
297,3068936838
298,3068922456
299,3068770163
300,3104632339
301,3103864205
302,3103821319
303,3103790930
304,3103746620
305,3103743099
306,3103705805
307,3103675558
308,3103638775
309,3100643948
310,3100572748
311,3100537364
312,3100306198
313,3100310912
314,3100300416
315,3100137411
316,3100024874
317,3099974004
318,3099868378
319,3099817927
320,3099528121
321,3099451312
322,3099431560
323,3099390131
324,3099348489
325,3096878715
326,3096870388
327,3096811215
328,3096659507
329,3095754943
330,3095659155
331,3095406810
332,3095233998
333,3095199505
334,3094846228
335,3094688182
336,3094654533
337,3094635494
338,3088252333
339,3072338241
340,3070772974
341,3070745223
342,3070720246
343,3070657372
344,3070616931
345,3070480437
346,3070062055
347,3069206822
348,3069179195
349,3069162461
350,3069135029
351,3069100738
352,3069080107
353,3069028508
354,3068989411
355,3068972735
356,3068953954
357,3068932195
358,3068897805
359,3068878006
360,3068855152
361,3068842776
