,summonerId,summonerName,accountId,puuid
0,3oYy1MwRV_dSYuGtGst4lkQtckVsJrqh1IjAemcOBhKEYxt8,Suck On Sup Tits,ApD3yjojhZvrB11VwLOia3DbuXkoifLzSCROAb4aVUwP3xaBadwQh-aH,butH7M9hD81fGpW3TUvTWNnZb7m-LCIVUlpTXoEp4J3ZhXwwaePFjRUiKZGz-xJKlAymGz6iRT2vvQ
1,WmSn6lrAZIjsogKBT0knfRKgVYoII_-r9ltA3NRRKJaTbvz3,IllllllllllllIl,CMYyBmyLge0hPhVjlnJMVT0B7JaqKdPZDa8N6b0k2LIUVwElj4XE7tLJ,2nwqqLweY4fz7LIKtoXhDaAVRgz926I_lTC7EIJQ0l9__S5YsA00rahzInrNgR4cZ8L_mAnpOt-QkQ
2,pfELg6FfNJgQLAwNTzQt46v12D9Xf-IbZ17s95e73C200i6E,XO ETERNAL Atak3,ZiGrE0rguzAzP8O2dJ03O6IbQv37nS-b_xo1YTwKi6YQodfH8U6I3lRh,joPQSCTv9E7l5wdX1n4v3C3sIvGncMv9DiaQ-eRw7819x3vixRVlrNTzxqZfPwhn34Wd6l_Tn8iNmw
3,y7cahXToGHymVnC2e8uH_4VhQGcgtmCD5uteiI4-BoGHbmWw,icewallowcome420,-u_Jqk2AFvjyLa34pHMqDRzary2MVf42v-qmI5zGhnuIU4HRb6hp1Cxw,JgKRyDjLNuzni7O3LEJrcyauFDh60iN76EIzeFxfwoTPza4EuGKZjtWCvsN_tjTXi7GHoSP6KNpq6w
4,PFbDqKXBibL0oXdoqz9LmeGF-AgJeHegyKwP_0b83U-jshWs,oliagft,byUMp4EX8aPUPyZaae22YXtdadZ5hXtNkgwMB1TY6r6U6OyFD_sGI0Sd,p7caWk6IrK0NtSldRp2TJ_i3vztCyrdOnd9MmlcQIp2o2Do_5SIrKEBLL0A5oQ7hKlODR6pdIf2NBw
5,ChpQy6ZYcqMfCvUA6gNMjjDFzKscyY4AwQQVgRO_aok_Ixrt,7EVEN 4OUR,LLbM8afF31zvu_T88JLLuKwW854WDydzri-hO4oenCazcGCnO_WRbU6b,sQarCLdfecMKBxtviKXxm9VccpvEgw8maMOO76VhRfcaHu9dSZ79ZRD_PZFokYE9MmxxEE1rkG7UpQ
6,jXa51ZSWwkGCRm7UPSRqe9ZWNhYcpIUQgbpIpOo0v9TTus9J,Mr FÊAR,UEoQH4XeJ2Wdg5NmLH0X_U7xWBZl3G4iSlZx3PyoBTVXYBwKIum5q0CH,7PkNb7FmQSgPs44orlu4lMX5f4AYHB6n7iGq688XcJ-v4HwMCQsN-lIhCcUQ9oBcMuyAru9O0IKBsA
7,E1qSKMSoJyfYSzFLm0hDCV5ttNmxs83dboR_WsR_6W5jPae5,Resilient Coquí,lj1_SKEhuTsXWkO_-g4lIR835mlLhRj2Dg6i_kn6f9YfF7Y,NgtZjg8SLp3esCUjk3fpFE6sebl3Ybfsz4nf79ATmM9ty-jgDZR0vOY0lAoCAZ-Se10cHGrGMB0_Iw
8,TXGO0mu6N5wLYXeFhYUvcqBBac6ax-THXdg2a-UKZERQx4fq,NonToxicThisTime,hXV805Z0fOR8w9AEMGVOgf_V3tf5r2M6FGmE1I73mKNoeOJOzcgUnnCz,iYalKtt1M4ZbNTzeuPyHljZhYlUsTtB07S9E-AywZh5qpXNGetMeHU-T5hSaTXAq0wMIfII8Q9-lTg
9,hl0EkyIMQ4Yl-cDSCYMfESw0mXqLaR3oySgAfTRpwrgOTCZ1,Hunter of Mother,OcmcLnFt0qsJf1ECLmsLnZCxs_XWmvn6wks6C_6e5plAwlWgImTeopmU,fM1q328uNTps_yMGK03oLVOwKArAqNWyLuLZi1yqseNCtPGRKzrQxyrG4VrefWaqEjbULxc07Cfnow
