,matchid
0,3209765662
1,3209685679
2,3200102924
3,3171151653
4,3171118053
5,3171091456
6,3144690235
7,3144680652
8,3144619699
9,3142474853
10,3142433385
11,3141817664
12,3141786911
13,3141746011
14,3141736768
15,3140870326
16,3140815653
17,3137736521
18,3137733293
19,3121553017
20,3121493571
21,3121380776
22,3121012114
23,3120726910
24,3120566655
25,3120535314
26,3120121083
27,3120054443
28,3119978259
29,3119717396
30,3119020966
31,3118957570
32,3118940765
33,3118896711
34,3118880962
35,3118447791
36,3118154942
37,3118113644
38,3118089488
39,3117909470
40,3117852365
41,3117801555
42,3117790356
43,3117749761
44,3117708865
45,3117129031
46,3117108281
47,3116910079
48,3116819362
49,3114956618
50,3114923584
51,3114890328
52,3114506581
53,3113651947
54,3113018491
55,3112965856
56,3112602368
57,3112558521
58,3112556021
59,3112416901
60,3112424312
61,3112319127
62,3112221224
63,3112188657
64,3111772553
65,3111206483
66,3111187898
67,3110563428
68,3109939823
69,3109686522
70,3108777061
71,3108347669
72,3107419774
73,3105885921
74,3105834765
75,3105820681
76,3105008989
77,3104965905
78,3103451791
79,3102262364
80,3101760949
81,3101730685
82,3101712647
83,3101645966
84,3100798660
85,3100433489
86,3099289141
87,3098758319
88,3098732786
89,3098710340
90,3098657464
91,3098616210
92,3098577294
93,3098547228
94,3098330235
95,3098325090
96,3096461559
97,3096450914
98,3096316019
99,3096261963
100,3201600638
101,3198656573
102,3198628024
103,3198610911
104,3198552373
105,3198496955
106,3198450449
107,3197400886
108,3197343461
109,3197287775
110,3197243242
111,3197199802
112,3197145540
113,3197149969
114,3197107801
115,3197075116
116,3197100881
117,3197046925
118,3197037111
119,3197023661
120,3197001173
121,3197000285
122,3196938129
123,3196955720
124,3196842318
125,3196805750
126,3196773901
127,3196760390
128,3196733290
129,3196634550
130,3196608147
131,3196574542
132,3196512495
133,3194733979
134,3194644276
135,3194630359
136,3194562411
137,3192387782
138,3191558287
139,3190752091
140,3190761321
141,3190780546
142,3190325021
143,3190253578
144,3190203140
145,3190093105
146,3189994302
147,3189957615
148,3189942578
149,3189908450
150,3189904056
151,3189890127
152,3189846408
153,3189834014
154,3188028815
155,3188021382
156,3187926057
157,3187898363
158,3187715264
159,3187699974
160,3187661893
161,3187577094
162,3187602906
163,3187529308
164,3187544473
165,3187520617
166,3187399488
167,3186884083
168,3186572237
