,summonerId,summonerName,accountId,puuid
0,qFHtJHoCUB-r7jbAIfy6eu70Z2yHh6YcqiYPDU5bJ8Zk90kk,CheisterMeister2,MYIyK-NyMwi0xhqMNU89DqUVuRzDmq85BQO1ex5Bb1-x0BI0vGLdmmWb,J7d_JN2x-4YgzCD1utSA80AgUso1bj_Ar-yR3iKJ4j2f7vq0lGyemX-EW_wXievTWE5BeErp41Q50Q
1,535d3ywDp7xBjqT1Ekr99VA46x1V85sv0_qSzQDuR1OhE-g0,losing mental,t5P4nihJulI3p3sRvEZY9N7MdZYiyhOyIDZjz2MyHpeGF4mOJ-4RdQER,N12BbXv6eFk1xC8ZhaEGeDgWV_L03L3QNpgPPwvd8tcxiYygobwF-gs_K_XieshRn8LcxlfuwhhGkw
2,_HWHI5Dmx9OeZaye2l49ZT2shLhBbmUrHVBWz5nVJBMkMY6Z,cantBslowed,XXy8MVQ0Fal1-_d3oN-sXwq_LtypIf_vU3PF6ywTRC7SB9b8OIk4OCCP,LOKwpU3g5FgB0QBxCDLqzfY8ESA4rWdBeQrc9xzt_AayZP-lta5JR_3hio_DtUSzwduiA0z2wRAZgQ
3,oca2HQirK7e8TirGi0A1YVwDLBtGpSGyTL2luTjUszFHnKxQ,Orbwalking,ZSlHXIe9LfrwDCsUhevLteSjn-_F92p0CAlzG-ti5dDRDVYPYBeuPUSA,IDsbdEVbVvMsvqaqTw0f2JQlAu00-isqnEbTfdxPulvDycUWM2LuAqr0Fj4TsCvLqGAX7GH0Jyfz-Q
4,JAWzZOcuVydzWaukcmvnTLZzfSuDcMkaOVlQvmWCesLrm_YY,BblytheeIl,_PPGXZV6-xDNpSuCmi-FGJVpotkcYxw8JW7TWTtMlzrGlpX2MrNQUJSE,D1gRiDXFn_dv0Uk_CzUSBHJRhJPIEBoDTxkZ7AWRrVh94STpY0a3gFW_Qv44ryb8_XP7QEl2ow55bA
5,AfnftWdRqJwGixfy99HFIHmSlydy9jQafGzr6Uoncb6TQrRV,Shoot em up Sam,q55efDSRhqpdfeWyR1PjFnzkDQY0fc9SrJIDzVWLTxeXu79q8qmcyBrP,zdug1wTuCEM9A6ayBfPrVj6--p2lroUqwZp6YZT-1_-2ySlTbezGOSKub97-52ZmqgsLKyQLMNRtUw
6,7O-oUXvhgDzKW9Dsy-zI54rTVmQ0g6zGSePpPL7LvYA72sW0,Verrükt,5awI_oRilUdAeHU3jRMcMXCh8erE-ztGgpXmcvt0UYagJBdqSaGwfASa,RVlbwLu6iIqyo2lu6O0Wqt2HbEOh4ZdssnJWHS76PLVmGyCTY8QTGopA513GLGA5GNTOHeMskDz9rA
7,CISZ7sZBD6yxwoEiKeX2CmRvyx0jvyMgaObsvwX6QI8bxpmS,AbneryD,FqmOUnPmVK0q7mO8WZqHHJed_KCWinXHwHYArSAZ4ri9RNmm74TvA4Sg,s1MTbjHyIQKqI-CINUxaIX4WkT7o7J2nsPnStVUDUnlBmZaTHuDbMu8hjCroHMXJJinTheUFLiUgsQ
8,LYA-fJAlvzIJPKotFg39kidviNyPR4hDoR33BfL_RwOAHbtw,uEqLionel,00CLIs5EKyrO-9ZhUHdTbrmIMNo5b80sdC1QRL3w3IRuB4br_8YhBzfl,fYb9h-OnFUTYUAJ_667csJgSNzb7T_UqwIX3V885X_u-AcMvzW84WezPkTrIF3msbDBFjhX199ZFJQ
9,uVj5_BGUkbKOpw4VJhQ4paEmJfFNdv07UtroOW1GuLz1bsgX,ad kr,TWqHfh1Gl1_xE_M9UiRWrOhzvgnWmcgo44-jBjDx2QCkqx4PmylaYgVN,dBZCpWzenzJg4IClpmHiuuGDmnLLAilYIi3phQkv2xSAq11gmbNVLrzi9Jh-APDoBwETlwGkt1q3vA
10,MnXBqBZdnggirYQdhKWbAEPv19Qwx_t64ArzYwbrPC3dWUUc,JonaswQbFs,NwhfnD56GIRru5wJRGU5_zD7UPMUmiVn2XMqHHLS9A-OyDpY8bn7mYjc,LubVrnixATwWGCyOm6hdcaoThkikz7Tv0J7JLTCTOif78Gw62F-sE2-PZMir0oft5W5u59oZjacJEw
11,GuIu5xhAiQt57eMk6WIisT8AeEQnpAHjiOQXL851tFTZlRZ8,VlSIONARY,XETvK0OLmb2x_bSU1DH3wgXVofDsLOnYwRP4fCV9eB9pntCpIUCpf_51,IBjsAHVQFdEqEI6CGt9awKmbWGdcvSxEsHV8etBfqf8czpnpyBa0-nOlGCaVVgP3e1-g2TQI5X6idg
12,IG6HvETfcnjC3nZrBeU_P8_Ws4mjlSWsy4574DO2mD--mZZN,Jae v9,MhhLvJpCAqZ_zuQalgDaOhw_Iuoi-vEq_CbsCDWv1mjYYeyBSx5EE-hZ,P0KFsMZm4Ulybmoz2Z9Co1trbG45A3_HE4QQc971eGpikW-AmWyUGzf4fcIzFWVn_fHS3t8nV2nvzw
