,summonerId,summonerName
0,-KWJ885TDJ6JRL0nA8TYH7N947xQuoo69-ZTQcaY_yXD_oOW,ArrayStartsAt1
1,uQ0-tGq3tpKhMsh25E3HY98QXVE08umBQZ4JRcDaPpDOlprq,Torgrym
2,tFk80bU2638kyhZvEPAQZVnBIJcb7kU1nVMRhyAEO7ETf68h,Vieux Carre
3,Z_o7fe1oglwK0rVJFkLfc6YJu9YdKoqxPYM6yKMImRuNL0gJ,Fumino FuruhashÍ
4,fq-fpBjksVHSXPZLGs6qZGKc-NiAsZWAIGyNXa0VJIk7s4YM,I win all day
5,dRr9Jrqe5_XywQmg-vTl85xgmOTYsUdsV1gBgyzDWWmhvGUR,Ryzeini
6,GahEtU0eCSVPFFSXbuy75dXMjde5XF_5FGmd8uywdjQPMkQj,ForeverIronTier
7,LUu38fKCeVpFf74Q4dfVAOEB9ZSa357QnIS48fEW9pn0xe8a,dont touch my pp
8,tvg-UZdOBUv98Yk_JqWEaBQPH9_5gH23MUTDII1oZQY__XFr,Meune
9,-ODPtHv3GEy2S1Ji_bUfPxvebGlcqJgRo1DBLbLuNQMGgmVJ,LeBlueBird
10,7usItfWQ-OOuh44bHka1uhXwwJqaqjgMep7bExryeCWRZHc_,Myko
11,5xS3BnXb-1A-h_-3WpvEsCxCm5VT-aOzuIWgKskkFrE1dJVG,Moisty Richards
12,_5mSmamtFZNiyIZFEiN07A4MPWl-Wr_LkuzIq_hN6U9l_HDL,Doezzz
13,aGGerbi742PFjgr2mbvj20Ug3O2bRnWQ5DlhUyT9PIj_-4bF,TSM Sarcasmri
14,mpCULSmlXQdna8ONtxkFdP255ppMjaExzHjgLtspsc6WPDDN,LeeUiChan
15,netWk8jURZOziLRhf-u4gi2HqFNdA1toKw8TBXj1zH1ehsGn,Rušh
16,xGTelWRHmHKDpjQh2U9pg_mkxo_xCIkXVW0uL0vf5GMs-Sv7,Naruthrow
17,c6kcCOgkcmUzeYGeRp1Owx1Uo-kF4NRNRCzedmX0Lj1jZS9d,Ssummerset
18,mxuFmZFzalVKCl3oHuvn7VbdRMjAIbd1M0FwbA1s1nJCQquO,EnergySherd
19,9KMiA-yDe6SPfkX0hnfxkPwQLI5lhA8ZgLfOWsePjo13p3iA,Aijo Karen
20,B9BlraFVlrSMm5N-ZbovMsEnOEi8Fe_aVgrRVqGl7F4xQcng,PIKAPIKA777
21,UwWHV66XxIoodui-D7QZLxAqK1-qVMboxFdNLelfie56sA0p,Frey Cheda
22,zmFoCULEZYu1etE_ZLJlM0UOBkdUPukAxhKo2XfKhOQzFtsK,MAIN BucktTxAv
23,rcHOUyj7pNlF5xa5geGHNxjHU4rz4ZVUeDaPBeEXV724bziX,go next lmao
24,PmTzZBT0w69OLvnE7YVPUygHT7DBdJYUnWmYw0wZ08iH1jB4,l malphtoashe l
25,pkK1ryfq4zvhUP-E4DM251E5wJaFITQsa8BHC5BXkrXUlXNt,TommyStrate
26,luf6naQuTSitYUW-5zvoWugyEEavRQrVxmoefR5gNhaixmei,squishypigs
27,Bg2Zl3LVL4z5DPs0nEuS6hAo6pxisY3FLj60t68FVYAxPVr7,1313liangJJ
28,FX7m-ESdeMTEILFjKziHim2NCukl06Gea30hb988m9Z0UUa0,HAHAHAHAXDDD
29,et5VnW2mHfj688Srjj-VnjawH4zeNmflX_4DWEHUr4ATc-X7,SupaDupa
30,JjtH-Xe9L2yI5Q4PgBts6xV00L6mU1Km3RYt7m6TMK0U6bgu,King Sol
31,COszW0Fi2DY0VspRmIWb71KrLhjV6lfifCDc1c77mBmzUmqf,KlNG IS BACK
32,tnGt1lL3Ty6e7m-XydXoqsKcT5-AlIcANlg7A7smlbZjZoyi,SoyPong
33,LDkxffKKoG0j5UHsqjhteLrKJRiKadckPd71VBFASIPSiAHZ,uoynaD
34,yBg-BUAcWYGNUxtcd081L0vl1PDClpuer6uiWOBwYKmmn9Lj,Ehringhaus
35,PiklkyDKwrp1AhSjmzqW9GFy7cS3Jw1eBBcXSjX2vgolttdO,napsback
36,unbJokt49lL7dfEkBxTr7C4F-UDjXVU1Q9Y65i8bggjxnJ8C,InsertSmartHere
37,C-JjNkY9L_aAiUMihAp7AR7MqM0YDfopw_3pzck_1Z9SX8ZA,dwarrr
38,KzaOBrq4HavF8sws9Ox-JM-bRrhK_WP8_5WJaJ7-CnoiXZ2G,Nenya
39,WoSzav25nMyomBAztv2PohM47HbGflVYRo-DUxbaCtVKpJz_,loli thigh
40,qP0iHRHvTuOgoUUomPXBMfqcbF8ETNzcq11WA44qk6SQ8ooa,yeslandia
41,AclFYJf0YD_FNmR0DNrrAr_yI1ii8-dxyIPcXwBVxdLFo7T_,ıIIllIIllIIllIIı
42,AlM6dp7-s_n2faglOGiKpkyxuWY1NpOuHKEH3Teu5GiwvGXR,Hanashiii
43,PNrNIpwVKSExyvP8X8XBjZC0cx-eC9fRGVQm-0MM-30xIS3H,Pisslow Random
44,QTbERBEthrQrTFhX4jEiIAhamO_BrNhmsZzWg4Yq6vVAPlsO,IlIIllIIlIIllI
45,MVTVVfYt043Oaw1jHx-zz1UuqVFvWTUNJr53viJ9isx2-ie9,Tarnien
46,miPJIxGpeIwiSPAhGE0Tmg890h1FWKuDAO83V-agkJYDuIQS,Sm0kyyyy
47,zx5YomZZNw-F0KFZyHUw7F8Xemk3BuxKBe78rFtrdmTTcL2U,Ccˉ
48,1yGTnZpcztrJVklToYYQdX9cv2Y4ozw9QD-ciNKu57mQOOM2,u r dum monky
49,RBpC9_6LB7l0W47sMN9bC0A3Kszh7xQaD3E5KegVPmOG5dr4,I am shy
50,9Ao1jYjTKjkH6JW7k1Ijdj3FAAHAqTwCD1hIbio47gFRQEFG,Penguin1100
51,A_pPVppDxS-XpOwGPmfXT83CzFyiuRkIHrzpup4uHVctbrwc,BRSCOOL
52,gy15GvPR67onmjWsohGEJC82c_g_OPRklN0AcBmmbjnabmsJ,I Like Living 
53,6cAtIkT5_qFeH_ySr57wdJXrzS4RdIl0ZMUdyFp6TZOukJmd,luluhajihyun
54,6TR7tgz6vdzCzNDkbeSQzApO9qbstra3H5zZM__gQKSVYeFV,NoLubePlease
55,cjIIT5TLYZANVmAsbgUOdBRGtaf75FnIsHJCHJJE5hvzCTZF,The PearI
56,hG7lQJFHqBLaPmf4GhP_1TPRtP22cLRYLA_B9FNmOtz9f6Cj,KoreanHentai
57,Ij3xb2L_cFWicXX19cMYz86uLxYEdxfWt1Cw1mvZvlahEmb_,Helloo
58,F-HQe2BxshYzVRMNjeSqtz90plM3nD5qsiV9r3nLUJZrgrA4,Mouse Only
59,lk0soB-Ne2xLk_H_-wii7t40va7w5DKb1AUk4JfB6_l2m34m,Juliet Persía
60,8I52p4WNzwoPZBw7wMzisEAzd4fIIRUUVIvLY42n25ruBS9b,Tilt To Death
61,ooxvgNRBAkL5C-ER5tLCtf6Dwe7Rb_uqge7zVs103wDxYKTF,First Sol
62,p7tFJqWAhmylDMqE0_7iFQ7ylyrsbT6CKeDdlsDn4zsd76gR,NiceGamePlease
63,Idpo0Gm9pIfrXUMAQ_6LLxgB9tXKJjCXiPzVCU6niJi6LYjR,Leif1
64,FOnj2Vxq5aopa_5rvJEqJkfXPwOK4I_Ks1LYCJFvUeMDpGYw,IIlIIIllIIllIlII
65,ZHl6JSVunWKgMwBki_tcoDdXVCS-HWzDaJgCQwuCbiOYt-P1,1 7 0 7 1F
66,HsFKrXpur2CAAnd8WfgDb6DcA3HCeSbSINRdnSrTtfO7kl5k,5ínglé fãthér 73
67,uHIqmHy_U6HKJkiX8GgYjjjjx_lYmoySSq5A_lAjnLhQPZVN,Shådøw 
68,CD7CTQH0Q-9YQu1o_Ev1w1Wvf5vutBzgkAsjOZA_ARRZrJrg,TheOddOrange6
69,ih2_B2roM0w1D1T9OqFStazgsY5ziSH_whDfcMsBzt4-c7ch,TranceTherapy
70,P-2zIkXtX4gItZUI9GyTDpBHqgp7JAetPwOzz7gz9kJ-3Shv,Yautja Wolf
71,uBOiMxx8bwo7m9mp3BUXQQ0pwM036Es3qjYSloOSgymRvN7s,Kametra
72,Bf9lQ9LErlyDH42nsgaMpimCx9JpHWtpofZJ7k2LFHSI9ocd,CaitlynSnowStorm
73,jNvCyHpJFQnPtGKfYHUt3-_p8Rueay5vvpShfDh7KSf3Nqqi,Vayne Ending
74,IhZjtDpCeZ35KuWyG-l-wdEMEZA5zWmYFBY_xCWKan-B3aHX,Marıo
75,E7m3tmCQHCsGkpDOKL7N_DWFrcF7MLi7Obx5n2L3QakGreqi,Quality Team
76,ktb-jb6DLvNmXV-Vn5Ba4qZb380LqHQeOyUcyCG0hIx-kJz8,Rednuz
77,7WxF2jyuDRcJTJYoNQx658N-vsd_uJVgXH-J00A4ooim-KxF,talent gap
