,summonerId,summonerName
0,asNeqHAzkAEQ41_hJFKkGlF-1fPpMXrVZ-MxgjtzqU13nw1w,Chimichanga Kid
1,2J1lPreVMZBVX1qZFWVXYP4fVdN5BShRI9DBdPnEIaFkv5Bz,Save Mê
2,lMifPysoAHaILpMURRkTO9e5p8c4KL6tUe3RTVCCzuhRjjaD,Ùndefined
3,QJx4ykF7cHO3IQn8mVtnNCeH1wPcKuswRid98c2fD89lHkTs,Łiàr
4,GALJX0pr2AXfbXy3SCa4tj3Wju9WZv9YjzmEGFx-qXlP6xfU,Anticípation
5,XH8RXsCKEwC7NSyF7DH1mftTkqyFCm306r5HuQ-SnebEDFoH,Facunds
6,YLl9rLXrnoDRYpYZsa4Tn7pHbVJnALJNKy1uLvcGdgnsIPZY,skoopy khicken K
7,i_QLaJGDancqbjiprMtQAbX83CF6_I5sYTa4KdoakOOrDPEn,blue revolvo
8,TcnfpbmXkkLqN-Tqo3uaEBYLCCSVf7Ca8e1Drfm1gBVC8KMZ,wao xin li
9,hWO44K_6JfcOtDSDM16Cq1Tegcj2o7Uy88-ZVuU-LmOZ0MYN,BigBossThaDon
10,tNQXTd1KkVEvFNM5lKQNOY44208DWIh75A2rHcMb_5Q8KXlW,skin is black
11,_FAJPPBVvfDcUfw92ii4Ekuul1L2WZr0h4bUyAll92rmzYJQ,CoD Athlete
12,q2W5I0wuNuoowOGhyOPRkAMFry-ZsLK13gB5iBETxA3K5F5j,PrincesFilianore
13,46Aafy0CTy047yFp_dQMCrbBqkwW7YS8HJMOy1LLYgIZMGRx,s9 jg
14,UcseEBaYLwSH2Xc2KyyBnFpLsBjKC_rD240ywvWgWEAaWko7,Hiyu
15,406NYQm-JcEoH5Yvetjwvn9aw3DeeEn37DQaf9kh3KfbFcs5,1192
16,ZgR0zEBAEPCN3gVK8HEOAHVakHEO6HCj4u2-qc9xpc-0Zl9i,BigBrainBill
17,k6IHYeIVzwMF4YdbZviYGFh-F1lC4l-BjYg0Odm_mu-DAl5K,EzBardEzLife
18,S7C7ns1Q1gA0efHlzA6n2PBqcBApAS1Ui0Ei28dmMD5eAOK9,I Am Scripting
19,TBVUiIAjYlxT1_VWlk_EY-fhGMhe4kG7kts0XE5VbfkRM6dd,the worst AD
20,Se_uyecf62CKzJ2WIyk8eMIsr1Ci-8UE6sa4ykhndGWmJAOd,WXN ElovatorL9EB
21,hZQ14w6SPCqhcb0YItjmHnrMlKUu-9HmCKQ3GKBzhVdZrDpU,ZealousEnigma
22,EFnxxBBr25kQo6Q6Rm5pg8eIu5ChzgnoYqoMWjWt--ZfSCjV,Tú Lão Bá
23,RGJHmc0ySCQgaJoTMkJs6nsyrR66DBlar0jx_k7xUONZ1zAz,TheMango
24,-AgMVDYfciwJe0Y2opk071JKhccD4R6R84n0eGYJii38MUlR,Mikosuki
25,oSquwnaLX7HMiIW1j_2jIfDeLwGETKpLdmmzZpeS3zpOqxqV,YaDaughtah
26,dxjj0dLNnh-DecAdowwSS-iFDLPCOLhsZhAYW4g9-V4JiR3_,Nha Stop Feeding
27,FT3TASyiX4Pz9Wq20X6YYVe06-mx9PI7mdfmmwTvJtBGLxRL,IIlIllIIllIl
28,QtUPJiDmCUr-FJdl1Mzt8dauaA3iFtseAf-XlNZe0zHXUwq7,TERROR ARTIST
29,ij4tycCfaz3EGr4oihW4HFFim0tlMVBQZlnBIW9mlR6BgD-5,RTO ON FACEBOOK
30,zIeonJZNFQX53x5WduPs0FAd6-Pk-3ofaWGuMRp7f0zYxbPd,GUNTERCAT
31,1AaQe1EB5yHbVUHHxa33WP-pJ-yBPrHc3JIMhsK726eItS2J,Tesfara
32,rnngHToHAO3V260rK7gfBy9lJEnSrA-AccxL0LUoqIq4Jldq,I am Defy
33,RE5VF5QJ3BLoN-Ks7OKvFLuY_0tdNG7ON2D2BttnT2VVZC61,Sozese
34,NJCVNud29Cme3P6m6p_OUBq2CKWJ1IlOMDGVGib0NBIEl7xh,me minh nguyen
35,ftmJoHykA1RYgRDwHbnZuKXP-o7LJatdDX7MVTFDi9HnNrrd,NØGankTop
36,ZymjVy1IOLMMgeeHO0QFEwhQFkNv6pSLaFPD4GCHUooAnAoU,Kraitenv
37,0-PArxsqC8hkI9S1-MhvL-2_IakaYfZWS59pTW6Gc-_inRod,The White Mirage
38,5W71p9QpK1DMKQVwc6sHN5U3_Z84lKGr3PUUY6wd1nAM8yR-,LOVE AND HONOR
