,summonerId,summonerName
0,Nu6ZRj2LM6J31isGc4WZR5zWB99XSnnWAwa11bTxqfAy90RX,Chogath Jungle
1,gTylPwF61TBeQ5Dpk1i3mOgs55EBWCF2coA71Auq2V7-yIpd,Dàncer
2,oroSDhQhnc_hd5FSo1Z-hlElxkQIg3lyED4WSd4N9D3LHkWH,Yuzu Juice
3,Dq7dBoeNywjZyA-UGZk6Jjwd4slqjTkdkqumcNINlaedhVuK,haylobkim
4,TrtZQAK4KWtr0lJzWqkDCFewlmqQAAxEVF3qTkN_TNut4HeS,Hide on ink
5,UvVCwvo7gnUt1i3YcLWJra1TQPQ4HfJ1Cwvxd9ItRov9Ref4,Griffen Viper
6,3YwUnjGrpIxwkbgN7tfBE7KYm58WLM-VOK9yyfGlvtwziCNf,Wennik
7,hnudWPucxIWRYYLjL-WcKDqsKJBiyGlgFU_6zTQ1P4O6lqWu,Moon88
8,AgHjeLRTvUTGTk3WguJYRBZnJI0wUZ1uem8be8k0rxEPXvRE,Zerø1
9,TgcUExSRCoDXQVZwujGDm9iqMiKIZ7bJDyWa2XlNS_yfjnUO,SKT Ben Shapiro
10,NQJIudfFOVa5wic358pABCRqIAKbOyoFfA_fKoSMM6VnwVuP,Hyjal
11,D914qh0kw-DI31W50PBrYlmP5LBdjIrA2T-CSX0sk7Uzijna,Mute Carry Win
12,UYcj1-arFiaZrrdVr8fK2yVSuJ7lLYtEWs_qP07YDwpALfr9,Energia Positiva
13,gPgQnXhHO5Y1UYx6hgq1J-nQEce7WsXg_O_On6cp4kQUwxtM,ImYalway
14,SPefCtcVy4gKhIzeQ-4P_ZnRYLo3bJUpBTpBf4mqJMMqOjjW,2018 04 14
15,9k37Y_fncsBuHvEnBkIiqY3T6l7W0ZEaUgALLNBm8jiIJg8X,Äunce
16,50UIiiokpI08054Tv9xx5YJ5uhp5rkFGFl_w0a0lRTRTbpWl,Aece
17,LJ_A_vyFCG-p2F8YOriO2PgGyTL_OkYU4kg3t2ekbYhO,US Economy
18,poFkzCThXYHtjPPIGOli4b2hQk3aYCG-LzxBeBJYGnjaKZcH,Dingie
19,L5qAJbZzc4YgE0Bh_lSb6jW0Cds8ckD093dbl4hQQkruFxUi,Bıg Braın Human
20,CT5La5BV4geMetAchQaGN7sHESl8iljwE883gr_SVR7SOp5_,Karieta
21,TO4fWgw713S-Qyg9NpqSKHai8QLBGNIVXYgOm5tV75GSkilq,malandrito123
22,FlhDbtfc_rjpPsoXMth1BUadYszut2RyzRicGJQAxBr29eTC,Guilt Complex
23,zsAFSPGQwpED4qRiTzX8lZ0hW37cnBkJyo_rsL0kUcH6nthq,HONOUR FOR CARRY
24,W_IBHqG1W37z1WkqjMyO5NAkRLp1dgEKW2zCInNBaNM710N7,Per Se Mafty
25,ueqMhFKzy8PElYWPBgB2RexVitvkHwi3KkAt-d_5OT_L9Lv6,Kamza
26,asWMxfmkZQcb3oYKZqpyYCM-0oHWPs5iJSfLLRQtcO76AMFr,Happy2BHere
27,B6unm3Tr76rSugf3KaeS5JjaB1WpAW7KFq4y0aEXqN1iNiUz,GodBranQc
28,nApqDpiJUiAdj5SLfq3vog4o44vTReUf3I13kVPeRSAaY0bK,Mian Bao Ren
29,zdprXbu0K2nfFlq9SH-rnDSFcCgAepDmDod11xZnOl2G324s,Níckich
30,6ygAUfbexapgcgRBZCz__ift5MkWnQvN37zNnI0f0gJaUKQg,Meyerson
31,cV_qjrvm4HZMXrUBVNgf4OSUiKXeWJbGW2D3C2f3WzwkrJ9g,RevengerSoul
32,nCACec2B91iJhXlTirGZLfqvwpD5bGOcu0ihEpiNy7luAVKi,Nigerıan
33,14mSR6Q9GewPgbjhvbV1umngZc44-o8DucHppoP5fb90mFhm,i int u 
34,HJBVcJe642AyvcU7RDNfhuTZruTJl5lviWgWKMtHG0eMG79l,Itsue
35,MqftuQTc2ddNC7rgeOui-WCFJvFA4kjqw2xo71iNSt-A_qM-,NeekoNikoNii
36,s5zVDZmFJQ24B0CulxuwCeJaZbfYhioEt6MJrAS5JluUIDUK,RlTO lS TOXIC
37,tXyE_olLs6_JCgLKBFzCSlLh3mN7yMWC_iEfcqRYcrqpZ0EM,IVAN IS SH1T
38,2_1F6jmIl2zfFvhfXpYeHlIHclOcrvSrXd0x6SMOAsq2w7Hd,Diana Griefer 
39,OnexZWE7-Kd4NZ4mPt0bK_ptEhCKuE4zv8kNlxWsvQ7xKUzR,Avoh S10
40,yxTUf-G_Dt8LxIy0EiQr_6AvTdJ6GRlXBfLLIXq9kXHSINuF,Unforgivenˉ
41,CNEKjeMREslrxhJmDDD0H1TCv_yPUOEGQylQv4Qky0E0xsAe,GiveReasons
42,9iD0JPkMrorY7ePdpk_VBdmm6Z8CgH45KGClpZ-nvS84zQJH,BillyBlowJew
43,YPKEuuSLk0avhQUJJqZ6GIdbqTabpiY-D9j_4L5bDxyMgc8E,Was Nice
44,deOeETSs7OlAXR_ruY7wkQ8rwHGKeLOyDR99asyuKlYw7nko,L9 Elizabeth S2
45,xjSn39QpQmTUwh89iDx-JmtDfiPmmfN_6_yqMGAus_cxHo3p,Yurelia
46,9GMoWtg2zRcIDxP3inIe28-uI8FU9JD3izewNyvN6G0cRDP-,HoGuDax10
47,wr-LYf1yV1K19WPd0Jmx4vGib-iYXfMqZebeNJ9B62o7GIhH,Aimbird
48,MmRI7AhyuykXpL3N2l_3Utpl_z6GUpz1E_BuvUUNz8xhA2Gw,FIXTHEFKINGAME
49,qEhdf5MzzynM7OtqwBZQ7KDcNo8nfyLBGb6pv2OPIayQsy_2,LucentClarity
50,QBitUlkn7HVPLjqasgXSsHfGdwloIO1U5bGCuNqy7cm-vbTu,Feeder VNese
51,uT87WmuAy5xNSg3Tvmix5rO8WfrFWNGfhwQvggA7eQSiOS0l,NaCl Rank 2
52,LZKjt-IjxiNUSFDiO5NoV61uE0ys8WR3i5xx6EY7hvpYfQhr,Can Be Great
53,6p63CfF1LF_E37gycpiCO0JZce6RQ-WEJxkEtOoirN0-Fpty,stupidweakmental
