,matchid
0,3210613096
1,3210557769
2,3192596896
3,3192624945
4,3192623662
5,3192193095
6,3185614958
7,3185630142
8,3185583213
9,3145319344
10,3210619487
11,3206840355
12,3206818113
13,3206773324
14,3206766377
15,3183514159
16,3179359540
17,3179226662
18,3171281024
19,3171219572
20,3101115779
21,3101075044
22,3094091129
23,3094061008
24,3089497088
25,3181643245
26,3177223257
27,3176099710
28,3174892568
29,3173026319
30,3209594932
31,3209570792
32,3209171376
33,3209069300
34,3206616924
35,3215986520
36,3215984811
37,3214289653
38,3214285015
39,3213309706
40,3215768051
41,3215422908
42,3212506831
43,3212314299
44,3211664945
45,3200728068
46,3200765782
47,3200734982
48,3200742519
49,3200722063
50,3070134655
51,3070106170
52,3039660744
53,3039634229
54,3038377542
55,3204567182
56,3200268205
57,3185815018
58,3185767985
59,3170642605
60,3213718758
61,3211756378
62,3210905403
63,3210114568
64,3209796235
65,3056739754
66,3056292069
67,3052356208
68,3051496358
69,3051469075
70,3214902160
71,3213769945
72,3213743615
73,3213587147
74,3213560326
75,3215628315
76,3201991857
77,3170045510
78,3169262275
79,3169020833
80,3120004365
81,3119998433
82,3118016829
83,3117018744
84,3115686639
85,3213748276
86,3210079132
87,3210036367
88,3210051610
89,3210006579
90,3210355393
91,3210197625
92,3210192044
93,3210144595
94,3210111940
95,3015801537
96,3015789157
97,3015787900
98,2988472653
99,2988446710
100,3202713720
101,3202627388
102,3202514864
103,3202267991
104,3196651389
105,3214430845
106,3214356378
107,3214370691
108,3205932604
109,3205914765
110,3055705186
111,3055679483
112,3034169326
113,3034060090
114,3033656053
115,3211323178
116,3210623354
117,3208673788
118,3208626257
119,3208578340
120,3115213072
121,3115187017
122,3115180479
123,3115161119
124,3115129294
125,3202442245
126,3201310642
127,3196670473
128,3196141576
129,3196066739
130,3210698795
131,3210450828
132,3210445713
133,3210422152
134,3210377634
135,3162936183
136,3162834969
137,3162704874
138,3160797811
139,3158632867
140,3206228169
141,3199675341
142,3198885171
143,3198873729
144,3195831911
145,3215425187
146,3215358713
147,3215374279
148,3214368361
149,3214352602
150,3131641492
151,3130430109
152,3129551146
153,3129541102
154,3129038265
155,3195950541
156,3188450483
157,3188006094
158,3142468717
159,3131868695
160,3211138783
161,3207579121
162,3207555054
163,3207530560
164,3207178112
165,3197173938
166,3196007854
167,3195898172
168,3193957241
169,3193974354
170,3075896730
171,3075865359
172,3056115377
173,3056086820
174,3056036830
175,3112310596
176,3112301660
177,3112246712
178,3112205018
179,3105145454
180,3190237824
181,3190223222
182,3189956325
183,3189981112
184,3189707361
185,3212139246
186,3212027772
187,3200722156
188,3200577747
189,3200555007
190,3188000266
191,3187944725
192,3187887241
193,3187744458
194,3177199687
195,3181034305
196,3178273741
197,3177609580
198,3177576297
199,3177600963
200,3214360675
201,3203494549
202,3203470288
203,3203395969
204,3203381351
205,3104850165
206,3104794772
207,3104683778
208,3103202446
209,3098119218
210,3193528891
211,3168988969
212,3163528197
213,3163513508
214,3163490788
215,3208349143
216,3208325221
217,3208309435
218,3207256106
219,3207282410
220,3209762420
221,3209695254
222,3209671443
223,3204977991
224,3203130867
225,3210596732
226,3210590002
227,3210550634
228,3210465549
229,3210418213
230,3201652643
231,3201565236
232,3201494125
233,3197482290
234,3185661820
235,3201515879
236,3201478354
237,3201451602
238,3201341164
239,3201258833
240,3215003520
241,3214908896
242,3214894770
243,3173272681
244,3139691482
245,3066833042
246,3066814084
247,3065721927
248,3065684625
249,3021555165
250,3108567311
251,3084992672
252,3084973786
253,3084955145
254,3084537546
255,3180372419
256,3180309428
257,3180332656
258,3180246858
259,3180270919
260,3074660716
261,3074642238
262,3074640230
263,3072995052
264,3072990778
265,3215993397
266,3214814396
267,3214803021
268,3214772081
269,3214221379
270,3142728548
271,3142704478
272,3055713612
273,3055678101
274,3055682280
275,3213802758
276,3213737491
277,3209758382
278,3209772043
279,3209677013
280,3176772676
281,3176095370
282,3176071946
283,3176036586
284,3176007332
285,3191802129
286,3190533681
287,3190530760
288,3190476138
289,3190311977
290,3214823703
291,3214256631
292,3214250863
293,3214227139
294,3208551922
295,3212623407
296,3212401738
297,3212349092
298,3205882309
299,3203740368
300,3213249146
301,3213218694
302,3213225601
303,3213165447
304,3213130964
305,3203682033
306,3203057291
307,3203034517
308,3203007672
309,3202993283
310,3174792652
311,3174717180
312,3174367420
313,3174382925
314,3174219008
315,3215633944
316,3215144305
317,3214305475
318,3202677933
319,3202642783
320,3203838186
321,3203830861
322,3197342405
323,3197051327
324,3186269221
325,3213176394
326,3196150326
327,3195585146
328,3181589163
329,3180356618
330,3213046566
331,3212967815
332,3211579178
333,3211590179
334,3211524167
335,3171649757
336,3170637002
337,3170601048
338,3163508126
339,3163535482
340,3208839884
341,3208773303
342,3208703227
343,3208626542
344,3208558511
345,3181769506
346,3151239446
347,3140307053
348,3140294460
349,3140300292
350,3208212169
351,3208178219
352,3206237965
353,3204405448
354,3203286369
355,3205815268
356,3197392078
357,3183657788
358,3182570653
359,3182505371
360,3210414728
361,3210411979
362,3210358507
363,3154752381
364,3154716899
365,3207117010
366,3205596676
367,3204589419
368,3204613208
369,3204582124
370,3211134649
371,3200385553
372,3195495630
373,3195437588
374,3195440926
375,3209808835
376,3209793042
377,3206375305
378,3206371742
379,3206327243
380,3212471861
381,3212437173
382,3182088726
383,3181423159
384,3181378061
385,3188035647
386,3151165390
387,3151142222
388,3151122419
389,3151086880
390,3209917907
391,3207006102
392,3203743582
393,3203667998
394,3203608896
395,3186185708
396,3186164156
397,3186142125
398,3184295924
399,3158989062
400,3099360727
401,3027416978
402,3026953327
403,3026920725
404,3021543647
405,3009213675
406,3009178336
407,2986658858
408,2965513786
409,2965470703
410,3206486141
411,3206481308
412,3204518928
413,3163516781
414,3163484615
415,3214308376
416,3214069404
417,3214085715
418,3214095120
419,3214052805
420,3186185708
421,3186164156
422,3186142125
423,3184295924
424,3158989062
425,3099360727
426,3027416978
427,3026953327
428,3026920725
429,3021543647
430,3009213675
431,3009178336
432,2986658858
433,2965513786
434,2965470703
435,3206486141
436,3206481308
437,3204518928
438,3163516781
439,3163484615
440,3214308376
441,3214069404
442,3214085715
443,3214095120
444,3214052805
445,3184078654
446,3183516097
447,3182589469
448,3182587452
449,3182501015
450,3066900135
451,3066861647
452,3066843613
453,3066801555
454,3062113037
455,3122273295
456,3070645490
457,3063734083
458,3063616073
459,3057704835
460,3214806049
461,3214784900
462,3134691747
463,3133830186
464,3133766148
465,3169281982
466,3169280530
467,3169225401
468,3169230392
469,3161448085
470,3179808367
471,3179493174
472,3179428308
473,3178732364
474,3178739816
475,3190605646
476,3183976153
477,3183930807
478,3183894152
479,3183796356
480,3214628251
481,3213716939
482,3213715448
483,3210842796
484,3210768360
485,3203983079
486,3203925807
487,3203891971
488,3203816088
489,3203821081
490,3208287870
491,3208302433
492,3207636268
493,3207115710
494,3207022138
495,3214190930
496,3214138432
497,3214154325
498,3208388835
499,3208254377
500,3210714178
501,3210647574
502,3210652155
503,3210586059
504,3210580600
505,3169522384
506,3166917512
507,3151771923
508,3151695316
509,3147876907
510,3210000635
511,3209963908
512,3209907665
513,3209882862
514,3209816170
515,3215112027
516,3213600396
517,3213161409
518,3213058824
519,3213046069
520,3214528930
521,3214504703
522,3214426464
523,3203773381
524,3136541715
525,3209851511
526,3209816473
527,3208841075
528,3208755083
529,3207960387
530,3195767195
531,3195765660
532,3195793902
533,3195800195
534,3195739410
535,3150795663
536,3150755066
537,3144654341
538,3144602688
539,3140926008
540,3215631599
541,3215547824
542,3215438921
543,3214964216
544,3214942474
545,3203338716
546,3192096199
547,3192089820
548,3191987498
549,3191955330
550,3177438721
551,3035263535
552,3003625071
553,3003633245
554,3003621179
555,3214664977
556,3214689940
557,3214603908
558,3212988028
559,3210844780
560,3066283158
561,3058374495
562,3058047330
563,3057550019
564,3057505112
565,3210914071
566,3210845468
567,3210809208
568,3210725346
569,3206900387
570,3214786156
571,3211669333
572,3211645006
573,3211608862
574,3209038206
575,3215013134
576,3214928097
577,3214876590
