,matchid
0,3204890006
1,3201541173
2,3177370901
3,3172655393
4,3170203938
5,3215768908
6,3215485030
7,3215457022
8,3215460106
9,3215355141
10,3207592457
11,3207566352
12,3207512185
13,3207240983
14,3207175375
15,3107771742
16,3107590555
17,3107553906
18,3100423159
19,3100385310
20,3196014689
21,3195991943
22,3195977250
23,3195934912
24,3195961001
25,3038420160
26,3038405544
27,3036886416
28,3036878354
29,3034713810
30,3062009831
31,3061889032
32,3061138362
33,3061120359
34,3060996111
35,3203553536
36,3203496964
37,3203272955
38,3203319744
39,3186207740
40,3211830327
41,3211795384
42,3211179017
43,3211146275
44,3211155124
45,3215013444
46,3214949663
47,3214907544
48,3200075099
49,3181252091
50,3215545598
51,3215580884
52,3215485398
53,3215108099
54,3213778383
55,3215918245
56,3215946541
57,3215915333
58,3215940406
59,3215867741
60,3136533062
61,3105952093
62,3105922844
63,3105245565
64,3105227873
65,3032455721
66,3032037745
67,3032042300
68,3032031991
69,3031767347
70,3176153798
71,3175475599
72,3175470489
73,3175425794
74,3174044894
75,3214059055
76,3206234100
77,3206273422
78,3163840259
79,3163788173
80,3207050053
81,3204905055
82,3197353525
83,3197326971
84,3197331043
85,3175502369
86,3175448505
87,3175445273
88,3175440954
89,3174855388
90,3182270500
91,3180943810
92,3159501876
93,3156508294
94,3143359508
95,3213844986
96,3213809062
97,3213802827
98,3213699727
99,3213703247
100,3152562486
101,3152463658
102,3140093413
103,3140073237
104,3140043244
105,3186713372
106,3186648354
107,3186465004
108,3186429201
109,3186424943
110,3152090396
111,3152068186
112,3152064688
113,3144465737
114,3144444946
115,3209570803
116,3206806926
117,3205178064
118,3202998038
119,3203020752
120,3215787851
121,3214912027
122,3214608917
123,3214641834
124,3214492548
125,3201757863
126,3201754970
127,3201771823
128,3199493329
129,3199501556
130,3058459322
131,3058439421
132,3058441546
133,3057935181
134,3057933947
135,3193381672
136,3193363437
137,3192028364
138,3191994613
139,3192011206
140,3215897850
141,3215945722
142,3215942658
143,3215930040
144,3215887040
145,3121944135
146,3121892807
147,3098725143
148,3086678297
149,3086690795
150,3215893222
151,3215891260
152,3214914022
153,3213723212
154,3213566989
155,3214976121
156,3214971874
157,3214917657
158,3213892948
159,3212306723
160,3058751421
161,3032193321
162,3032167288
163,3032163013
164,3032151282
165,3065060531
166,3048684298
167,3048657377
168,3048660577
169,3048650168
170,3033744507
171,3032981582
172,3032944336
173,3032919232
174,3031319255
175,3214401724
176,3214317615
177,3214313958
178,3213229982
179,3213172607
180,3203711137
181,3203669800
182,3203628203
183,3186420675
184,3180128477
185,3195672908
186,3195587519
187,3195615258
188,3195493207
189,3195426947
190,3173265182
191,3173214754
192,3173244019
193,3173213000
194,3173241598
195,3038709492
196,3038690306
197,3018954043
198,3018931733
199,3018855515
200,4250052049
201,4238168468
202,4235423472
203,4225160197
204,4224159940
205,3212473863
206,3212419121
207,3211731418
208,3206841390
209,3206825760
210,3202723416
211,3202667346
212,3197095569
213,3197039727
214,3196712214
215,3168533824
216,3168560374
217,3152316769
218,3090914437
219,3088280210
220,3167704649
221,3167196868
222,3166306455
223,3166279635
224,3166023537
225,3210861664
226,3210806552
227,3204785956
228,3204763391
229,3196984573
230,3214730671
231,3177847976
232,3177835335
233,3177812507
234,3166198929
235,3187425955
236,3186600292
237,3186535614
238,3186492194
239,3185730193
240,3203071776
241,3203027295
242,3202984148
243,3202938132
244,3201741166
245,3206487517
246,3204518719
247,3204524524
248,3199051094
249,3199017417
250,3214823488
251,3214773219
252,3213037510
253,3207059332
254,3207037598
255,3127228090
256,3127189197
257,3127190425
258,3127153334
259,3127135721
260,3138081029
261,3138043360
262,3133386327
263,3132667683
264,3132643475
265,3215752245
266,3215704223
267,3214974355
268,3206712278
269,3206719887
270,3214975758
271,3211245252
272,3211169245
273,3211135638
274,3211106746
275,3214916127
276,3214829201
277,3214826272
278,3214260157
279,3214212130
280,3203588867
281,3200286135
282,3196705106
283,3195593968
284,3194638406
285,3026053702
286,3026007170
287,3025959992
288,3025933640
289,3025451367
290,3201575846
291,3201508824
292,3098722430
293,3093136570
294,3086235969
295,3212520699
296,3211687645
297,3210762650
298,3210639109
299,3209750269
300,3198827502
301,3190488100
302,3184142215
303,3152675215
304,3152102812
305,3216007456
306,3215973107
307,3215962343
308,3214777369
309,3214815542
310,3212991130
311,3212949545
312,3202668248
313,3202614231
314,3202475420
315,3174060829
316,3173998868
317,3174026101
318,3173592231
319,3169197710
320,3215376219
321,3210359330
322,3210355415
323,3167630682
324,3167264057
325,3213238929
326,3212705018
327,3212577015
328,3212571053
329,3208400904
330,3186032484
331,3186029833
332,3185996212
333,3185991788
334,3184741593
335,3137928544
336,3092582692
337,3073182206
338,3066665838
339,3066661937
340,3186271485
341,3151275602
342,3150912631
343,3150880225
344,3148132598
345,3177388873
346,3177359704
347,3177313960
348,3175461756
349,3175356288
350,3214279000
351,3202169977
352,3202134380
353,3202069375
354,3202073520
355,3189219801
356,3186822661
357,3186745649
358,3186709970
359,3183964620
360,3183566295
361,3183478481
362,3183484525
363,3156780775
364,3156776500
365,3185937697
366,3185931518
367,3182487295
368,3182401646
369,3078962570
370,3145495179
371,3143534716
372,3098621363
373,3098558648
374,3098519002
375,3210902780
376,3210829107
377,3210148108
378,3210095753
379,3207932728
380,3213038189
381,3213026318
382,3213004835
383,3213012516
384,3207725312
385,3201123872
386,3200889611
387,3199373681
388,3197215312
389,3196610974
390,3215443099
391,3215378138
392,3214395370
393,3194319810
394,3183811695
395,3180991789
396,3163782843
397,3069282666
398,3066785625
399,3052486528
400,3131297427
401,3131266696
402,3131222928
403,3131183593
404,3131162507
405,3204662213
406,3183572080
407,3167669237
408,3167661928
409,3167614834
410,3176871320
411,3176840933
412,3138256144
413,3138226435
414,3136605630
415,3196120019
416,3181481086
417,3181416546
418,3171650897
419,3171427558
420,3175762184
421,3143605818
422,3086530019
423,3086495213
424,3086464440
425,3120593943
426,3120549917
427,3120523508
428,3120413836
429,3119447496
430,3214243745
431,3214230278
432,3210727305
433,3210636658
434,3210470578
435,3197210291
436,3195916966
437,3194023277
438,3192725303
439,3192733066
440,3191317933
441,3191292148
442,3191246182
443,3179593428
444,3179564966
445,3143316880
446,3030082496
447,3025939315
448,3025219874
449,3025194728
450,3048208642
451,3042817772
452,3042789419
453,3039624485
454,3038854708
455,3206170063
456,3206166580
457,3206114525
458,3206120439
459,3206086637
460,3210689980
461,3203469635
462,3203474852
463,3203460228
464,3203433292
465,3210353526
466,3210379736
467,3210307517
468,3210313224
469,3210272109
470,3172076455
471,3172062754
472,3172009180
473,3171984817
474,3171949250
475,3085027811
476,3084996636
477,3084768250
478,3084461765
479,3084417737
480,3202170613
481,3202114998
482,3055455713
483,3040641070
484,3028526133
485,3137434282
486,3119379001
487,3119336909
488,3119307462
489,3119278632
490,3178067346
491,3149321690
492,3147598885
493,3147603013
494,3145914842
495,3146447382
496,3145943151
497,3145940870
498,3145897587
499,3145893432
500,3153055354
501,3152268186
502,3152249355
503,3151964743
504,3151944552
505,3137343132
506,3113669193
507,3094287539
508,3093375303
509,3089977876
510,3214296175
511,3214268348
512,3209647220
513,3209645122
514,3209377898
515,3215478670
516,3131228606
517,3131184530
518,3131125853
519,3131116284
520,3205920096
521,3205845148
522,3205769470
523,3199331629
524,3199221114
525,3215391463
526,3215118796
527,3209931530
528,3209903326
529,3209589387
530,3108154875
531,3108160488
532,3099221186
533,3098509310
534,2988294617
535,3213893293
536,3213270851
537,3213205778
538,3213223972
539,3185447328
540,3198672036
541,3198616402
542,3198569455
543,3198513533
544,3198465493
545,3050368253
546,3050361943
547,3050323451
548,3050103908
549,3050100743
550,3215122771
551,3215008240
552,3214994188
553,3214989997
554,3214906660
555,3083905615
556,3083877938
557,3083859279
558,3074427793
559,3073847979
560,3097754747
561,3097741365
562,3096548012
563,3094542401
564,3094508078
565,3210655721
566,3210616016
567,3210545685
568,3210457303
569,3209902711
570,3143048029
571,3140381489
572,3138744684
573,3138631009
574,3123070989
575,3209950463
576,3207173931
577,3206767777
578,3204738988
579,3203929125
580,3215380721
581,3206504773
582,3206519736
583,3204793924
584,3204334651
585,3215627985
586,3215641510
587,3215521074
588,3215462079
589,3214757613
590,3186410251
591,3185268508
592,3182411922
593,3177248550
594,3176272217
595,3215796864
596,3215771164
597,3215716499
598,3215093474
599,3215110460
600,3209364281
601,3209420618
602,3194949937
603,3194888439
604,3194905260
605,3203328359
606,3203298868
607,3203314252
608,3182356408
609,3157459589
610,3169919102
611,3169897038
612,3169755570
613,3169654642
614,3168872895
615,3214975973
616,3214972630
617,3214959943
618,3214616464
619,3214539643
620,3210573372
621,3210547406
622,3210333412
623,3209974714
624,3209968219
625,3214953841
626,3214038075
627,3214005922
628,3214004053
629,3214022567
630,3063902763
631,3063884811
632,3041192242
633,3041121575
634,3040174682
635,3211016336
636,3145560592
637,3144499753
638,3144471979
639,3144433593
640,3208376736
641,3208391980
642,3208325306
643,3208330247
644,3208284594
645,3065089803
646,3064976872
647,3062467599
648,3062455119
649,3062449629
650,3211704042
651,3211669239
652,3211616367
653,3211592802
654,3211497030
655,3161476936
656,3161473984
657,3161470637
658,3161445662
659,3161440130
660,3005792687
661,3005790879
662,3005780359
663,3005766624
664,3004197206
665,3212708277
666,3212703746
667,3207730093
668,3206583789
669,3206508140
670,3131015306
671,3107205592
672,3057578366
673,3057555756
674,3046381821
675,3215983910
676,3215953147
677,3214784124
678,3214449828
679,3214242306
680,3200468530
681,3200486420
682,3200461304
683,3194278190
684,3194261607
685,3132503751
686,3116621024
687,3116592794
688,3111985699
689,3111895069
690,3192844171
691,3192833391
692,3188006625
693,3176155246
694,3175334627
695,3195976207
696,3195982859
697,3186930003
698,3186852984
699,3186834421
700,3199979502
701,3199984779
702,3199822234
703,3199753559
704,3199712208
705,3212340323
706,3212271207
707,3212008850
708,3212027589
709,3211795197
710,3050992317
711,3045660864
712,3045601096
713,3045572102
714,3045551031
715,3215523532
716,3215458951
717,3215463958
718,3215460001
719,3215383777
720,3209790697
721,3209745855
722,3165514934
723,3118380469
724,3096637713
725,3212684512
726,3212599341
727,3209940758
728,3207856793
729,3207883953
730,3206163222
731,3205643921
732,3204431152
733,3204401268
734,3201069357
735,3185016677
736,3185054011
737,3185061107
738,3185070443
739,3185008864
740,3200152379
741,3194064082
742,3193200008
743,3192894503
744,3192421879
745,3157085165
746,3156988954
747,3156841090
748,3156454933
749,3156419560
750,3146393516
751,3143069828
752,3143051816
753,3142738610
754,3142526447
755,3208254140
756,3208229725
757,3208226641
758,3206827298
759,3204921759
760,3175773239
761,3172045162
762,3172082414
763,3170756542
764,3170784875
765,3214382798
766,3214326659
767,3214313649
768,3214258830
769,3214233952
770,3214895251
771,3214931406
772,3214836356
773,3211510520
774,3211331712
775,3204969470
776,3204973357
777,3190717143
778,3181897164
779,3181913934
780,3199655333
781,3199653800
782,3194508672
783,3194488794
784,3194443077
785,3214542728
786,3214475781
787,3214500735
788,3214415769
789,3213947105
790,3166174730
791,3153328780
792,3153327396
793,3153316197
794,3150474098
795,3215973735
796,3214297107
797,3201160374
798,3200876790
799,3200865244
800,3214713244
801,3214720604
802,3214698211
803,3214675210
804,3213959219
805,3204953236
806,3204858505
807,3201138731
808,3196353657
809,3191909427
810,3184780838
811,3178093083
812,3177866799
813,3177873156
814,3177661249
815,3193483677
816,3193461689
817,3193416945
818,3193373459
819,3193381791
820,3214358614
821,3210448837
822,3210276327
823,3209635146
824,3209609813
825,3055234850
826,3055186892
827,3054582697
828,3051308730
829,3050370706
830,3192950045
831,3192933840
832,3192887842
833,3192844769
834,3192830326
835,3147983630
836,3147956668
837,3147936801
838,3147924035
839,3147895066
840,3184856817
841,3184851917
842,3182632409
843,3181047114
844,3180994970
845,3074162150
846,3074146472
847,3074132113
848,3074106876
849,3074092835
850,3074776010
851,3074762178
852,3074604691
853,3073870921
854,3073832105
855,3208788898
856,3208745160
857,3206423645
858,3206379098
859,3206375305
860,3210346653
861,3204479695
862,3204467894
863,3188479787
864,3188437202
865,3214466959
866,3214420132
867,3214283437
868,3214229937
869,3214205556
870,3215490864
871,3215435205
872,3215407272
873,3213280593
874,3213226525
875,3076255621
876,3075363892
877,3075352042
878,3075350917
879,3075349898
880,3127655216
881,3127224945
882,3127188228
883,3127190621
884,3126467492
885,3211903185
886,3211920020
887,3211284441
888,3207149621
889,3206127677
890,3214837504
891,3212002275
892,3203306873
893,3141066520
894,3141063616
895,3187676760
896,3176132056
