,matchid
0,3140062799
1,3128766547
2,3128531729
3,3123161915
4,3114419350
5,3105514364
6,3105484091
7,3105414393
8,3091887960
9,3085331404
10,3208264603
11,3208228733
12,3206743843
13,3206666120
14,3206701711
15,3177231293
16,3175317727
17,3175313664
18,3170449091
19,3153325664
20,3208574004
21,3208537282
22,3208443611
23,3208407096
24,3208400926
25,3215840484
26,3215794094
27,3215739707
28,3215764591
29,3215689732
30,3213182029
31,3213118653
32,3206173860
33,3206221669
34,3206158897
35,3092378293
36,3092374449
37,3092121004
38,3090713385
39,3090721208
40,3214092606
41,3214052277
42,3210274261
43,3209708227
44,3209682956
45,3213200771
46,3213136558
47,3213112521
48,3213049971
49,3212789718
50,3208184470
51,3208132996
52,3206865786
53,3206871029
54,3206776368
55,3207596634
56,3207590753
57,3206585127
58,3206202978
59,3206201074
60,3166765889
61,3166754071
62,3166679711
63,3166665230
64,3166333217
65,3214976289
66,3215002353
67,3214310582
68,3211320063
69,3211137371
70,3189053113
71,3188222447
72,3186846049
73,3186840577
74,3186732151
75,3214242194
76,3214207157
77,3214203128
78,3213874534
79,3213813488
80,3207132266
81,3206908315
82,3206945547
83,3206941834
84,3206848736
85,3159944152
86,3154253552
87,3153489104
88,3153306630
89,3144162870
90,3215991686
91,3215970730
92,3215999744
93,3215928915
94,3215946252
95,3209762299
96,3209726261
97,3208767912
98,3208771561
99,3208656644
100,3207842454
101,3207810737
102,3207754452
103,3207699646
104,3207683412
105,3210054800
106,3210028901
107,3209935767
108,3209869263
109,3199786840
110,3131823018
111,3131709470
112,3131701294
113,3131141100
114,3131068460
115,3154790271
116,3152088437
117,3152106715
118,3152094950
119,3152102993
120,3214642550
121,3214335490
122,3214309819
123,3213856249
124,3213851935
125,3207842454
126,3207810737
127,3207754452
128,3207699646
129,3207683412
130,3210054800
131,3210028901
132,3209935767
133,3209869263
134,3199786840
135,3131823018
136,3131709470
137,3131701294
138,3131141100
139,3131068460
140,3154790271
141,3152088437
142,3152106715
143,3152094950
144,3152102993
145,3214642550
146,3214335490
147,3214309819
148,3213856249
149,3213851935
150,3203552456
151,3203496380
152,3201997817
153,3201170894
154,3201117111
155,3210621927
156,3210518646
157,3210007244
158,3209972231
159,3208272261
160,3187637292
161,3187599049
162,3186723979
163,3186648720
164,3186440826
165,3212706679
166,3210398841
167,3209644343
168,3209579091
169,3209581259
170,3203454777
171,3203408952
172,3203314062
173,3203310864
174,3201146553
175,3062395749
176,3062386605
177,3050581381
178,3050565271
179,3050384401
180,3206375313
181,3206401910
182,3206349365
183,3182121412
184,3182069810
185,3210584884
186,3210556327
187,3210541699
188,3210488231
189,3209691311
190,3215595978
