,matchid
0,3191482061
1,3055719023
2,3055703297
3,3055687077
4,3055672868
5,3208767132
6,3208751383
7,3208483063
8,3122665952
9,3122671750
10,3197385545
11,3195125595
12,3187719155
13,3187666915
14,3185857855
15,3213226336
16,3213172947
17,3213119469
18,3213154676
19,3213103721
20,3136380050
21,3133660900
22,3107235493
23,3107200350
24,3088555679
25,3185651110
26,3148531688
27,3146206096
28,3146194346
29,3146156527
30,3166339416
31,3139237839
32,3139176659
33,3135137636
34,3134846872
35,3187429549
36,3186162531
37,3185828416
38,3185821668
39,3185488219
40,3172062034
41,3172010473
42,3099377459
43,3099350061
44,3098912455
45,3195862853
46,3195852944
47,3048862590
48,3048689671
49,3048657463
50,3207759688
51,3200257209
52,3200218327
53,3194721671
54,3192779324
55,3180411347
56,3180354964
57,3180292842
58,3180236391
59,3180223182
60,3087548939
61,3087543768
62,3087520210
63,3085751219
64,3085726607
65,3215461625
66,3212938645
67,3212957414
68,3210805209
69,3210749228
70,3216004755
71,3215953413
72,3215539550
73,3215554277
74,3215442310
75,3199649902
76,3185675938
77,3016348350
78,3016275809
79,3016263647
80,3202130671
81,3202047447
82,3201819477
83,3201807937
84,3201845356
85,3201190420
86,3201143414
87,3187362024
88,3187310753
89,3187129445
90,3210874502
91,3210900022
92,3203808528
93,3203800790
94,3202770702
95,3204573951
96,3204568267
97,3204509983
98,3204464732
99,3203554660
100,3164223041
101,3155041658
102,3130336835
103,3128316953
104,3128166861
105,3173408429
106,3173394655
107,3173421225
108,3173347624
109,3170074784
110,3079504557
111,3079156428
112,3079163834
113,3078178889
114,3077792797
115,3193014934
116,3192919487
117,3192106452
118,3192053643
119,3192019090
120,3187685595
121,3185805686
122,3122524165
123,3122478384
124,3120602129
125,3210371179
126,3210309125
127,3181278166
128,3181255961
129,3144563661
130,3020896183
131,3020859378
132,3020872877
133,3020081389
134,3020051526
135,3208141733
136,3206914695
137,3206280854
138,3206230341
139,3206199417
140,3142105504
141,3138928382
142,3135280506
143,3121645462
144,3116596116
145,3215674050
146,3214384626
147,3213227769
148,3213193644
149,3213129622
150,3209578138
151,3199881207
152,3199789108
153,3195113333
154,3183413680
155,3210108846
156,3210114970
157,3197535735
158,3197530640
159,3197505705
160,3134481336
161,3134168603
162,3131548867
163,3131553026
164,3131538881
165,3215425898
166,3215461702
167,3214873317
168,3214860596
169,3214818037
170,3215846540
171,3215833600
172,3215840202
173,3215785971
174,3215748243
175,3204983254
176,3204917752
177,3204911982
178,3204866235
179,3204810551
180,3214291261
181,3214237207
182,3201109808
183,3201054867
184,3200866398
185,3205609914
186,3205536865
187,3205524745
188,3205268118
189,3205295683
190,3214939375
191,3196970868
192,3196899396
193,3196371487
194,3196075000
195,3188812157
196,3187492597
197,3187388529
198,3186360366
199,3186144373
200,3211938286
201,3212027070
202,3211851687
203,3211788837
204,3211764296
205,3212692727
206,3210148571
207,3210097493
208,3210105049
209,3210120711
210,3210049952
211,3206741212
212,3206679255
213,3206535106
214,3201270450
215,3191731731
216,3154627139
217,3154585597
218,3154575444
219,3154025957
220,3213819367
221,3212448763
222,3212403278
223,3211154305
224,3211170581
225,3215695856
226,3215612629
227,3213965465
228,3213974386
229,3213950360
230,3172800960
231,3172502109
232,3172500321
233,3172209662
234,3156774110
235,3044420558
236,3040857214
237,3040815671
238,3040188683
239,3040191773
240,3205519425
241,3205556540
242,3205562398
243,3205540083
244,3204556904
245,3215119267
246,3215114697
247,3214474447
248,3214437985
249,3211589410
250,3183452882
251,3183387473
252,3183375611
253,3182411372
254,3182353628
255,3206480065
256,3206413328
257,3206365062
258,3206352236
259,3205878216
260,3131627599
261,3131622254
262,3131575689
263,3129194807
264,3129166666
265,3176085424
266,3176071385
267,3175873731
268,3175610564
269,3175553749
270,3197214872
271,3179838335
272,3146914194
273,3146873964
274,3146777604
275,3043515906
276,3043486694
277,3041969319
278,3041975773
279,3040242153
280,3154021846
281,3144333014
282,3141965240
283,3141806110
284,3141768262
285,3209027707
286,3209017322
287,3208986271
288,3209013019
289,3208991192
290,3151743285
291,3151693409
292,3151656112
293,3147115109
294,3147089400
295,3215523734
296,3214885004
297,3214841633
298,3214518582
299,3214168524
300,3215474323
301,3215448831
302,3214064440
303,3214081945
304,3212467657
305,3215406097
306,3215391918
307,3214942891
308,3212894542
309,3212872517
310,3211655595
311,3211650357
312,3211594733
313,3211478739
314,3211339364
315,3030827041
316,3030800846
317,3030780677
318,3030391282
319,3030369782
320,3131731800
321,3130926611
322,3130911529
323,3130722703
324,3130711632
325,3215851405
326,3215787325
327,3215749505
328,3213693030
329,3211821336
330,3127130137
331,3127105730
332,3126767369
333,3125974700
334,3125483423
335,3194139071
336,3194164555
337,3192219752
338,3192125089
339,3187374313
340,3066957299
341,3066944659
342,3066914717
343,3066885704
344,3066857425
345,3208658324
346,3208623544
347,3208587216
348,3208479691
349,3208474778
350,3214251434
351,3214129681
352,3214075809
353,3213913075
354,3213881117
355,3203809561
356,3060895168
357,3060889827
358,3060854200
359,3060826168
360,3030781866
361,3030651885
362,3030638182
363,3030635501
364,3030626140
365,3191487450
366,3186201506
367,3185260378
368,3185037050
369,3185053540
370,3215942443
371,3215930820
372,3215886823
373,3215833102
374,3215789012
375,3201137085
376,3198705305
377,3198657133
378,3198598060
379,3197535438
380,3180652668
381,3180506494
382,3180553141
383,3180261722
384,3180068230
385,3202840987
386,3202737070
387,3202699662
388,3202711767
389,3202646570
390,3209917782
391,3209909057
392,3209902603
393,3209836212
394,3209801845
395,3206847887
396,3163623917
397,3163587096
398,3113019401
399,3113003454
400,3145297177
401,3130873071
402,3130846485
403,3125824428
404,3027742819
405,3206911173
406,3206865359
407,3205053945
408,3205028399
409,3205033744
410,3186558765
411,3186501813
412,3186346002
413,3186277034
414,3186262931
415,3203092510
416,3195987215
417,3195965124
418,3195932581
419,3188273707
420,3205736311
421,3205521826
422,3205253322
423,3205242143
424,3204472334
425,3042153006
426,3042128145
427,3042122747
428,3042096639
429,3042089915
430,3154236317
431,3154240790
432,3154208769
433,3154196639
434,3154203908
435,3161347917
436,3161335863
437,3161131880
438,3161103611
439,3160558460
440,3215988311
441,3215964168
442,3215952777
443,3215952170
444,3215623574
445,3201660173
446,3201602586
447,3200383730
448,3200366458
449,3199522472
450,3192415800
