,matchid
0,3207272523
1,3201911793
2,3201108691
3,3187375022
4,3061142939
5,3210876475
6,3210920479
7,3210819514
8,3210834230
9,3210788643
10,3063490731
11,3063405181
12,3062964903
13,3062943812
14,3061963134
15,3213261362
16,3213196033
17,3212539692
18,3212553742
19,3196528202
20,3059934848
21,3059897078
22,3050309365
23,3050269670
24,3050261284
25,3205926295
26,3205792443
27,3202840806
28,3202810325
29,3186037686
30,3044428401
31,3023747492
32,3021830240
33,3016917045
34,3015919656
35,3213132669
36,3040441627
37,3040433288
38,3039633037
39,3039552821
40,3204330594
41,3191154874
42,3186362504
43,3186296332
44,3181107898
45,2991112826
46,2991086792
47,2991077674
48,2990647502
49,2990617944
50,3187316227
51,3187364516
52,3187304443
53,3187322501
54,3184836957
55,3008380988
56,3007795165
57,3007766689
58,3007718718
59,3007681510
60,3214297494
61,3214187169
62,3210330801
63,3210310164
64,3210217517
65,3066232271
66,3024407452
67,3007578802
68,3007562185
69,3005315394
70,2972686612
71,2966848640
72,2966822473
73,2966795193
74,2966786999
75,3211160625
76,3211079292
77,3211096700
78,3211103982
79,3211091926
80,3116981377
81,3078005699
82,3063366003
83,3063351652
84,3051343822
85,3193462893
86,3161450011
87,3161423625
88,3160785211
89,3159735275
90,3187581160
91,3187525959
92,2988506593
93,2988511891
94,2988488921
95,3130264410
96,3111953971
97,3089804866
98,3089675014
99,3089648888
100,3211160625
101,3211079292
102,3211096700
103,3211103982
104,3211091926
105,3116981377
106,3078005699
107,3063366003
108,3063351652
109,3051343822
110,3193462893
111,3161450011
112,3161423625
113,3160785211
114,3159735275
115,3187581160
116,3187525959
117,2988506593
118,2988511891
119,2988488921
120,3130264410
121,3111953971
122,3089804866
123,3089675014
124,3089648888
125,3207072790
126,3192264188
127,3191949215
128,3191982802
129,3177006871
130,3086483403
131,3086028333
132,3086011218
133,3085807243
134,3085143333
135,3194996770
136,3195012214
137,3194944386
138,3193930877
139,3187825031
140,3210595184
141,3210589957
142,3210543974
143,3210550081
144,3210466625
145,3032923141
146,3032846826
147,3032864594
148,3032862574
149,3032173769
150,3208228980
151,3163084213
152,3077722140
153,3057362012
154,3049308537
155,3209026270
156,3181564439
157,3162488895
158,3162533971
159,3162408484
160,3001056254
161,3001035094
162,3000986588
163,3000535896
164,2999455244
165,3012510364
166,3012373249
167,3012339524
168,3008549801
169,3002054390
170,3215457655
171,3210769332
172,3210801839
173,3210737565
174,3210723405
175,3094555883
176,3092576500
177,3092553458
178,3092536722
179,3092511354
180,3107874967
181,3107842718
182,3107794768
183,3107783687
184,3107754084
185,3076210545
186,3068792056
187,3068183641
188,3035811180
189,3035764858
190,3192355191
191,3192329184
192,3192291070
193,3190378705
194,3190350817
195,3054071240
196,3052355991
197,3046327971
198,3046300477
199,3042732332
200,3184965659
201,3175575073
202,3175561275
203,3175515229
204,3175391800
205,3215396758
206,3214863319
207,3214851586
208,3214819233
209,3212636018
210,3211270841
211,3208013156
212,3203489288
213,3201695701
214,3150849516
215,3202628775
216,3124515851
217,3124511967
218,3116510633
219,3073919225
220,3064383433
221,3054192986
222,3051732875
223,3051693220
224,3051638953
225,3078840811
226,3078775927
227,3077289539
228,3069271958
229,3069255967
230,3213979979
231,3212896367
232,3212884855
233,3212903292
234,3212890859
235,3210301053
236,3210280427
237,3210267259
238,3210266807
239,3210265219
240,3204390599
241,3204318978
242,3203794165
243,3203728922
244,3203349769
245,3210285623
246,3210302802
247,3210310221
248,3210258766
249,3207163655
250,3048751754
251,3048725321
252,3048707651
253,3048385107
254,3048270877
255,3214170791
256,3214149511
257,3214116347
258,3214122807
259,3214048780
260,3199655406
261,3199692149
262,3199638896
263,3199606651
264,3199593646
265,3215911451
266,3215858932
267,3215854426
268,3215860047
269,3215805008
270,3012389341
271,3012338332
272,3011374037
273,3011338505
274,3011322264
275,3215005891
276,3215002186
277,3214906481
278,3214933142
279,3214920957
280,3134165435
281,3113029217
282,3112978259
283,3111629025
284,3111599180
285,3047748767
286,3047763931
287,3047687371
288,3047098218
289,3047055179
290,3213064890
291,3209811352
292,3207601851
293,3207183725
294,3207150945
295,3121912967
296,3118639842
297,3118597810
298,3117858360
299,3117826918
300,3215803786
301,3112525453
302,3112521038
303,3112503817
304,3112478740
305,3158948836
306,3154735641
307,3154653607
308,3154615516
309,3154605290
310,3210387997
311,3210335325
312,3210332216
313,3209597098
314,3209384446
315,3212935584
316,3201213652
317,3200315577
318,3200257627
319,3200207031
320,3213563292
321,3028534351
322,3028521085
323,3025671698
324,3025656193
325,3213569825
326,3213325387
327,3213341061
328,3213225285
329,3213220829
330,3214300147
331,3211101157
332,3209827125
333,3209376048
334,3208567987
335,3215468707
336,3210703183
337,3210654414
338,3210588138
339,3210582098
340,3186218322
341,3167814076
342,3167659248
343,3159446610
344,3159425674
345,3044642801
346,3044639094
347,3044619463
348,3044618175
349,3043772811
350,3191497292
351,3191119912
352,3191081455
353,3190729166
354,3190529566
355,3206333807
356,3206322022
357,3205681692
358,3205650338
359,3205597105
360,3079184387
361,3079100185
362,3079073096
363,3079058903
364,3079045148
365,3184700892
366,3132890224
367,3124584610
368,3123966862
369,3123926555
370,3182436458
371,3182389335
372,3182390214
373,3182350893
374,3122670741
375,3069259454
376,3068655218
377,3068612347
378,3068494105
379,3066397739
380,3142348718
381,3142297128
382,3136589885
383,3136548209
384,3136507138
385,3167432727
386,3166252997
387,3075023025
388,3074987663
389,3074111846
390,3205787868
391,3205753814
392,3205750034
393,3204585366
394,3204581264
395,3211635346
396,3192406830
397,3192401484
398,3083063739
399,3083008644
400,3208427918
401,3208392450
402,3208367507
403,3204610158
404,3204566476
405,3167761202
406,3167742559
407,3167696213
408,3125485062
409,3118990011
410,3135591664
411,3135572602
412,3135525372
413,3134872982
414,3134850237
415,3210855423
416,3210860526
417,3210776680
418,3210748106
419,3210693848
420,2976479673
421,2976447880
422,2976386089
423,2976373618
424,2976349303
425,3202171795
426,3202116214
427,3202131627
428,3202086060
429,3196788103
430,3199270999
431,3199195213
432,3198794119
433,3197624090
434,3197592820
435,3210465452
436,3210448458
437,3210057267
438,3210070576
439,3209977487
440,3209582208
441,3209517375
442,3187700736
443,3187662507
444,3186678759
445,3213563292
446,3155435674
447,3155403193
448,3155373950
449,3155330605
450,3045281083
451,3045268264
452,3044624666
453,3043648924
454,3041602197
455,3132382722
456,3130637610
457,3130632632
458,3126984913
459,3123120323
460,3177927567
461,3177006537
462,3176974556
463,3177001424
464,3176959791
465,3214807281
466,3210759493
467,3210803276
468,3210729414
469,3210588138
470,3214796890
471,3214795036
472,3213990946
473,3213989647
474,3213938995
475,3112764314
476,3112754253
477,3112708525
478,3112162245
479,3112128353
480,3215969950
481,3213943429
482,3213942330
483,3213940816
484,3213878621
485,3019247195
486,3018002784
487,3015874358
488,3013932100
489,3013911386
490,3215933187
491,3215900755
492,3174563400
493,3166730428
494,3159136148
495,3004664548
496,3004641251
497,3004604258
498,3004576818
499,3004546750
500,3042883140
501,3042058393
502,3042042900
503,3042023838
504,3041928510
505,3214614004
506,3214578553
507,3214135736
508,3214080928
509,3214038941
510,3207972194
511,3207912811
512,3207863585
513,3207778611
514,3207790744
515,3111259796
516,3111242669
517,3111228248
518,3110822224
519,3110850747
520,3215105674
521,3215111053
522,3214977430
523,3215016127
524,3214991566
525,3208847733
526,3207787037
527,3207770269
528,3206732878
529,3206657362
530,3138432284
531,3138397876
532,3138405388
533,3138392714
534,3138390898
535,3180359773
536,3180343654
537,3174957042
538,3174940436
539,3174677128
540,3087981316
541,3077987707
542,3077962747
543,3077915037
544,3077491819
545,3210708709
546,3210281948
547,3205932124
548,3205924151
549,3205870055
550,3208946144
551,3208960161
552,3201742459
553,3201722416
554,3043214688
555,3212658025
556,3212641199
557,3029394352
558,3018958828
559,3008890407
560,3133780753
561,3132010528
562,3108162978
563,3108136076
564,3108131359
565,3211075420
566,3211054019
567,3209574809
568,3142291442
569,3142264434
570,3069151713
571,3058493666
572,3056088777
573,3056101689
574,3056070986
575,3134881387
576,3126470538
577,3126423848
578,3123202332
579,3095235822
580,3193879290
581,3193895738
582,3193647818
583,3193646985
584,3188512941
585,3157872974
586,3157816650
587,3157798578
588,3157228110
589,3157195935
590,3210592296
591,3210517779
592,3210532439
593,3210477202
594,3210492530
595,3215879879
596,3215815943
597,3209883970
598,3209847639
599,3209803397
600,3172727528
601,3094506412
602,3094478605
603,3094448485
604,3094442317
605,3101372775
606,3101362606
607,3099237479
608,3099250780
609,3099213565
610,3210901232
611,3210847255
612,3210842258
613,3210100968
614,3208921644
615,3212529834
616,3210905461
617,3210883034
618,3210848276
619,3210862786
620,3143232560
621,3140253264
622,3140209729
623,3137657874
624,3137664138
625,3043922459
626,3043920112
627,3042650354
628,3042624817
629,3040863505
630,3196667842
631,3196630844
632,3181802844
633,3181717914
634,3175873015
635,3148730682
636,3148709096
637,3148726756
638,3148724845
639,3148713111
640,3114484812
641,3112066831
642,3107761763
643,3104808012
644,3104760581
645,3126330641
646,3125439864
647,3123755834
648,3117605478
649,3117587212
650,3168770697
651,3168756193
652,3168720006
653,3168665726
654,3168626813
655,3081140051
656,3081093962
657,3081061321
658,3081012358
659,3079795996
660,3164333448
661,3164317268
662,3163831622
663,3163739286
664,3163726143
665,3021960381
666,3021893655
667,3021422163
668,3021412112
669,3021419752
670,3212578028
671,3134745073
672,3125749122
673,3101498845
674,3043336183
675,3213164635
676,3213110953
677,3213057469
678,3164652373
679,3155282944
680,3209906247
681,3209882115
682,3209794964
683,3209776432
684,3209741947
685,3122683355
686,3121616340
687,3121612633
688,3121141391
689,3120838425
690,3197600563
691,3197433305
692,3197375119
693,3197369893
694,3196818442
695,3054504793
696,3054066395
697,3053966279
698,3053961088
699,3053910234
700,3075927969
701,3075886900
702,3075867766
