,matchid
0,3181376056
1,3181258090
2,3181274183
3,3181212915
4,3181169217
5,3208370809
6,3208348727
7,3208313832
8,3193404673
9,3193319169
10,3143305305
11,3143283827
12,3143300580
13,3135540506
14,3135513036
15,3215496458
16,3215444590
17,3215399590
18,3215399784
19,3214913604
20,2967911124
21,2967848294
22,2967844703
23,2967822762
24,2967751675
25,3215588518
26,3214924308
27,3208759319
28,3145478186
29,3145315635
30,3085666875
31,3085675989
32,3085656151
33,3085653813
34,3085638849
35,3214428438
36,3124481526
37,3121734762
38,3116589239
39,3103526292
40,3206244251
41,3206282272
42,3206241907
43,3205575464
44,3205592492
45,3192105615
46,3191345994
47,3191361115
48,3191117813
49,3189517586
50,3178018284
51,3161667508
52,3161641101
53,3161624230
54,3161599232
55,3126992462
56,3126985350
57,3126957433
58,3124608297
59,3069279666
60,3089795217
61,3089240688
62,3074136168
63,3074132475
64,3074115488
65,3212921375
66,3212867604
67,3209668674
68,3203653396
69,3203608781
70,3138823435
71,3138732006
72,3138703738
73,3137835077
74,3137820072
75,3186801711
76,3186774994
77,3186717888
78,3186710628
79,3184189129
80,3214885999
81,3214685062
82,3214605379
83,3214569607
84,3209084500
85,3208969868
86,3168579040
87,3168534899
88,3134800386
89,3134731276
90,3206779153
91,3204030574
92,3203886437
93,3203752405
94,3203733102
95,3203058301
96,3203054530
97,3203040539
98,3203014526
99,3093421631
100,3208881329
101,3204278707
102,3204219273
103,3204212717
104,3204058078
105,3194060897
106,3193173931
107,3190139516
108,3190140929
109,3186744635
110,3215652595
111,3215594671
112,3215396338
113,3215361528
114,3215117066
115,3209990936
116,3209916033
117,3209868776
118,3209872952
119,3209807380
120,3209532029
121,3209205578
122,3208903609
123,3208829308
124,3207982565
125,3197429036
126,3197434319
127,3197412789
128,3193446371
129,3193443333
130,3186405229
131,3180420755
132,3180384044
133,3180258795
134,3178328704
135,3199005247
136,3165673609
137,3165650223
138,3165576838
139,3165592624
140,3211864341
141,3211851707
142,3204998937
143,3202961793
144,3202255594
145,3166555025
146,3165936334
147,3165309291
148,3165296284
149,3165237211
150,3208627214
151,3180653165
152,3179639757
153,3179604149
154,3179581073
155,3210505706
156,3210452666
157,3210271024
158,3210290263
159,3210247829
160,3208889425
161,3208854622
162,3208818351
163,3208812549
164,3206991957
165,3194500006
166,3194462209
167,3194423179
168,3194347912
169,3162008273
170,3215440263
171,3212875417
172,3212893943
173,3211859273
174,3210856997
175,3203358187
176,3203382269
177,3203309558
178,3203256352
179,3191435751
180,3135061726
181,3131084784
182,3130730136
183,3129057311
184,3128038906
185,3083577418
186,3050317010
187,3050257914
188,3050239509
189,3050192639
190,3176176713
191,3160969188
192,3160929176
193,3160873957
194,3160845549
195,3173177968
196,3173204246
197,3173119547
198,3173125655
199,3173068795
200,3214241703
201,3203722019
202,3203529119
203,3192887519
204,3188390218
205,3190760862
206,3188336147
207,3188344045
208,3184142215
209,3184160340
210,3177639875
211,3176892272
212,3176813059
213,3176718522
214,3176752847
215,3199682957
216,3199661475
217,3171978556
218,3168837963
219,3167849331
220,3212999895
221,3212964855
222,3212934442
223,3211892050
224,3211849454
225,3212424572
226,3212344897
227,3180923662
228,3178377074
229,3178360902
230,3126237307
231,3126235452
232,3111902140
233,3110058373
234,3110062663
235,3194984840
236,3183725109
237,3183686314
238,3130123291
239,3126423757
240,3211062014
241,3210847863
242,3210862268
243,3210788000
244,3210764184
