,matchid
0,3213839169
1,3213864476
2,3208808507
3,3206903365
4,3206868304
5,3206504707
6,3206490911
7,3206415582
8,3206411780
9,3206430654
10,3191916864
11,3174791347
12,3153401020
13,3153378482
14,3152221985
15,3211502942
16,3211298555
17,3196628927
18,3196617932
19,3183514426
20,3213265627
21,3171086249
22,3170929934
23,3170628290
24,3170635318
25,3210874319
26,3210873411
27,3210869057
28,3210814342
29,3210740708
30,3197458590
31,3197385380
32,3197208344
33,3196752330
34,3196727250
35,3200980439
36,3199326482
37,3199289905
38,3199243586
39,3199207936
40,3209650482
41,3208544280
42,3208469625
43,3204035319
44,3203928362
45,3209206213
46,3209144150
47,3209170822
48,3209068367
49,3209075940
50,3215977734
51,3215670191
52,3215478824
53,3215483684
54,3214844731
55,3209065619
56,3209064429
57,3207741594
58,3207706894
59,3207661021
60,3215771380
61,3215677405
62,3215662971
63,3215651013
64,3215643553
65,3199980723
66,3199936613
67,3199838800
68,3199836184
69,3196873213
70,3215831568
71,3215795870
72,3215768712
73,3215764612
74,3215695728
75,3196753754
76,3196737862
77,3196713979
78,3196639507
79,3186041524
80,3197259567
81,3172932932
82,3172723857
83,3169225491
84,3160961256
85,3193213117
86,3166465191
87,3162920967
88,3141712028
89,3117536609
90,3209537100
91,3208688161
92,3208188153
93,3208155551
94,3208173725
95,3214943447
96,3209606180
97,3209562796
98,3209508751
99,3209473312
100,3208397516
101,3208380964
102,3208336156
103,3208322134
104,3208267877
105,3214785975
106,3214804168
107,3214802950
108,3213092234
109,3212998370
110,3181067554
111,3157309434
112,3157297295
113,3157314538
114,3157311923
115,3191383525
116,3191266942
117,3190485338
118,3190501335
119,3190436415
120,3205842009
121,3205785501
122,3205799948
123,3205617825
124,3205584962
125,3215554887
126,3215519489
127,3215513020
128,3215457164
129,3193396771
130,3207888889
131,3206832767
132,3206880932
133,3188169562
134,3188164317
135,3212328001
136,3212296336
137,3212293768
138,3212291387
139,3211957727
140,3214329005
141,3214313986
142,3214249005
143,3214217541
144,3211749784
145,3208195138
146,3208210769
147,3208138990
148,3208165511
149,3208153503
150,3188441838
151,3162858100
152,3162833259
153,3162709679
154,3162759883
155,3181853071
156,3158002149
157,3137249211
158,3113246683
159,3094170391
160,3185756633
161,3181266969
162,3176033226
163,3175978511
164,3173581605
165,3200968658
166,3200337465
167,3200341286
168,3195322392
169,3173275830
170,3210319092
171,3199845853
172,3199882807
173,3199852783
174,3192871019
175,3202885776
176,3200283799
177,3198607756
178,3194488305
179,3188242086
180,3202991321
181,3202944885
182,3198526452
183,3198482275
184,3194443173
185,3209177677
186,3209135849
187,3209173030
188,3209180799
189,3209139857
190,3215877186
191,3210493339
192,3210450178
193,3210144249
194,3210131601
195,3206231118
196,3201764622
197,3201751249
198,3200859858
199,3200698571
200,3208109642
201,3207723102
202,3205759372
203,3205803640
204,3204840290
205,3196871091
206,3193474915
207,3192779009
208,3192795405
209,3192540408
210,3215455348
211,3193010899
212,3192989031
213,3192974418
214,3192939432
215,3202025581
216,3198527689
217,3198498734
218,3198452299
219,3195349066
220,3208457924
221,3206629358
222,3206593701
223,3206547293
224,3206432170
225,3215719344
226,3215657945
227,3215650224
228,3215605258
229,3215365176
230,3214571708
231,3214267948
232,3214260776
233,3214176339
234,3214221667
235,3210867887
236,3210813194
237,3210788725
238,3210500016
239,3210405769
240,3206846695
241,3206882173
242,3206815527
243,3206719410
244,3206722845
245,3208632407
246,3208575673
247,3208569828
248,3208515448
249,3208490093
250,3214266391
251,3212317342
252,3211295500
253,3208405701
254,3208322120
255,3183584352
256,3177929516
257,3177934836
258,3177909245
259,3176253503
260,3213695488
261,3213567421
262,3213604608
263,3213582431
264,3213126605
265,3215489975
266,3215450122
267,3215364795
268,3215135502
269,3214999255
270,3212414371
271,3212382042
272,3212308934
273,3211057249
274,3211054724
275,3203467187
276,3203461551
277,3203433412
278,3199322184
279,3199277683
280,3209594374
281,3209549889
282,3209515587
283,3208796878
284,3208769533
285,3215837091
286,3215729587
287,3215743338
288,3215694180
289,3215013372
290,3215571287
291,3215515738
292,3215520661
293,3215455348
294,3215149075
295,3210433235
296,3210379712
297,3210376325
298,3208223672
299,3208167379
300,3207523953
301,3207569870
302,3186142227
303,3186179888
304,3164050106
305,3211321639
306,3185834788
307,3185788736
308,3185782762
309,3185740259
310,3213792717
311,3213740294
312,3212772280
313,3212645906
314,3210007873
315,3205999802
316,3203495412
317,3203462513
318,3203424434
319,3198612080
320,3209883590
321,3209846257
322,3209600578
323,3209515489
324,3209501087
325,3209483352
326,3203749154
327,3203713280
328,3203673876
329,3203609115
330,3215789232
331,3214441338
332,3214404132
333,3214246411
334,3212700184
335,3210483481
336,3210418593
337,3201134254
338,3201067265
339,3201043775
340,3210799185
341,3210544537
342,3210485705
343,3210500658
344,3210416533
345,3210822167
346,3210774923
347,3210751597
348,3209742902
349,3209726117
350,3210856820
351,3210814034
352,3210768456
353,3210792009
354,3210717994
355,3199939655
356,3199916307
357,3199915262
358,3199433806
359,3199406947
360,3192682315
361,3192681106
362,3192614387
363,3191776474
364,3190563195
365,3181949627
366,3181959802
367,3159803164
368,3156867335
369,3156851407
370,3208300174
371,3208206483
372,3208156557
373,3207739822
374,3207553543
375,3215990542
376,3206538351
377,3178848721
378,3156302521
379,3154929450
380,3201295319
381,3201271810
382,3201226739
383,3201203067
384,3200232044
385,3214994143
386,3214927568
387,3214441084
388,3214362301
389,3214072238
390,3215670570
391,3215596457
392,3215601237
393,3215545849
394,3214424912
395,3215136640
396,3215121367
397,3215010061
398,3209603082
399,3209536807
400,3211332175
401,3211159393
402,3204822466
403,3195463957
404,3195447215
405,3192802004
406,3172652090
407,3151752416
408,3133397306
409,3115864561
410,3206646400
411,3206592065
412,3206536861
413,3206499010
414,3206009751
415,3182478868
416,3182461670
417,3182383507
418,3182354952
419,3182287367
420,3207660705
421,3207606944
422,3206975845
423,3206875932
424,3206872891
425,3210203721
426,3208095576
427,3208104124
428,3208113130
429,3207054696
430,3210796790
431,3210780662
432,3210723741
433,3210677910
434,3210631395
435,3210297569
436,3210285644
437,3210302770
438,3210310014
439,3210247743
440,3209784676
441,3209704206
442,3208377590
443,3207872852
444,3207815500
445,3207246671
446,3206362064
447,3206299476
448,3206336554
449,3206322916
450,3202842453
451,3202766654
452,3202688788
453,3202673480
454,3201654412
455,3207874026
456,3207786415
457,3207782132
458,3202964746
459,3202920168
460,3213173424
461,3213128142
462,3213114318
463,3213140839
464,3213078706
465,3215664973
466,3213859173
467,3213845109
468,3213336783
469,3213257720
470,3202063092
471,3201978696
472,3201984459
473,3201970574
474,3201927348
475,3194755426
476,3194740806
477,3194628364
478,3194661957
479,3192637751
480,3208276883
481,3208282785
482,3208228526
483,3186114442
484,3185586549
485,3214840311
486,3214777420
487,3211160284
488,3211088253
489,3211099925
490,3212609759
491,3212556184
492,3212532511
493,3212508487
494,3211723273
495,3210659599
496,3210633348
497,3210597232
498,3210537970
499,3210510373
500,3215494852
501,3215458455
502,3213281264
503,3213111399
504,3212457741
505,3214023211
506,3213823321
507,3213759130
508,3213753058
509,3213317847
510,3208810829
511,3206424838
512,3206421392
513,3178250962
514,3178194881
515,3210021089
516,3181794380
517,3181748066
518,3181713702
519,3181666557
520,3204556798
521,3200129947
522,3200074266
523,3199787136
524,3199075885
525,3202962025
526,3195915318
527,3195894195
528,3195891977
529,3195910607
530,3204221938
531,3204038604
532,3201475057
533,3201259273
534,3201226188
535,3194131552
536,3186939051
537,3185684289
538,3160921280
539,3160911987
540,3213701654
541,3213522061
542,3210803813
543,3210007912
544,3210022168
545,3207175228
546,3201799982
547,3201740622
548,3191933175
549,3184890020
550,3215124365
551,3210626463
552,3210611284
553,3205976776
554,3205960501
555,3215495645
556,3215438455
557,3215423704
558,3213713229
559,3213558406
560,3216008218
561,3215975783
562,3215954434
563,3215952571
564,3215971328
565,3178517912
566,3161694983
567,3157796433
568,3150706870
569,3150690973
570,3204640554
571,3176077312
572,3176112586
573,3176039360
574,3176061779
575,3215502553
576,3215444589
577,3214300007
578,3214263043
579,3213977577
580,3215120425
581,3215006572
582,3214973088
583,3214886048
584,3214872733
585,3195319111
586,3195273808
587,3176136730
588,3176072403
