,matchid
0,3202459726
1,3202444881
2,3202219656
3,3202243779
4,3202220098
5,3207707930
6,3206622011
7,3206575594
8,3206541078
9,3205712163
10,3212352410
11,3212380203
12,3212024190
13,3192137421
14,3192143101
15,3210710598
16,3210687948
17,3207983822
18,3207950057
19,3207904151
20,3015947638
21,3015785383
22,3015784057
23,3015760208
24,3015738388
25,3215955233
26,3216003772
27,3215127552
28,3215133461
29,3214992325
30,3113748727
31,3113729964
32,3112216659
33,3112164973
34,3112132511
35,3195226814
36,2983478109
37,2978102309
38,2975466294
39,2975464306
40,3213076381
41,3211149853
42,3208718471
43,3208692289
44,3208619876
45,3207031005
46,3207029973
47,3206240665
48,3205296080
49,3205253899
50,3215728691
51,3215761421
52,3215676449
53,3215699796
54,3215515423
55,3208179299
56,3208146969
57,3207513710
58,3206682244
59,3206594621
60,3145016193
61,3145004362
62,3145001936
63,3144989500
64,3144968284
65,3214031808
66,3214020735
67,3213979331
68,3213948513
69,3213987304
70,3168430441
71,3140705013
72,3140662859
73,3140635231
74,3140594854
75,3177157614
76,3177172056
77,3177125982
78,3177082369
79,3177027809
80,3213315602
81,3213286943
82,3213156371
83,3213163062
84,3210689980
85,3210602647
86,3210556597
87,3210494760
88,3210449692
89,3210341706
90,3214710138
91,3214420119
92,3212862123
93,3211880788
94,3211819819
95,3152440909
96,3152397518
97,3152367703
98,3152332814
99,3152008917
100,2988257269
101,2988237098
102,2988187815
103,2977463676
104,2977444721
105,3212981737
106,3212930906
107,3205697555
108,3205700472
109,3205666055
110,3204948722
111,3204981918
112,3204877537
113,3204816478
114,3204820165
115,3215718754
116,3214035113
117,3213172442
118,3213151553
119,3213098037
120,3215441064
121,3215359865
122,3215095765
123,3215100963
124,3214865177
125,3215523702
126,3215480884
127,3215430880
128,3215363948
129,3213697213
130,3167481483
131,3146857214
132,3131864437
133,3111319793
134,3111306461
135,3215362374
136,3215118345
137,3214382241
138,3214318221
139,3213580455
140,3187961580
141,3187848845
142,3187800287
143,3187763973
144,3186700243
145,3007102700
146,3007049277
147,3005869255
148,3005865670
149,3004956807
150,3208526584
151,3207594309
152,3207622699
153,3207528767
154,3207256951
155,3211749571
156,3211733128
157,3210375525
158,3210371941
159,3210360214
160,3133175620
161,3133165752
162,3133126890
163,3036976013
164,3036981404
165,3116614433
166,3116208169
167,3116175868
168,3116152554
169,3115829946
170,3197183405
171,3188276297
172,3188274818
173,3188281391
174,3188256077
175,3215004175
176,3212582738
177,3206558256
178,3206358966
179,3206405539
180,3081712984
181,3078236832
182,3078206048
183,3069680640
184,3069600960
185,3200037195
186,3200052706
187,3188047146
188,3188028518
189,3187910209
190,3214703622
191,3214597402
192,3214611641
193,3213879689
194,3213897814
195,3084216853
196,3082911047
197,3080962283
198,3080874161
199,3080822943
200,3181927014
201,3181926154
202,3181944488
203,3181241929
204,3181199481
205,3118768842
206,3118737229
207,3118107444
208,3118124197
209,3103620048
210,3156403911
211,3070784198
212,3070765753
213,3070736812
214,3055553059
215,3210447078
216,3210443922
217,3210392311
218,3210349057
219,3203441879
220,3201258864
221,3201261292
222,3191158901
223,3184860196
224,3184826524
225,3215661598
226,3215615738
227,3215570938
228,3215496005
229,3215469187
230,3176049995
231,3173352362
232,3172499883
233,3171926150
234,3168762984
235,3213886158
236,3213880886
237,3212478283
238,3208977442
239,3209014771
240,3214221358
241,3214091237
242,3214049202
243,3212455700
244,3211079476
245,2973011545
246,2963402936
247,2963320532
248,2961529484
249,2961530559
250,3214951438
251,3180104797
252,3171088956
253,3166182737
254,3166159722
255,3209858134
256,3209871512
257,3209825469
258,3208767197
259,3208697791
260,3214679414
261,3214575125
262,3214516268
263,3214451782
264,3214155622
265,3035342557
266,3033163847
267,3032502378
268,3032491901
269,3032247202
270,3210004135
271,3209859051
272,3206562458
273,3206508829
274,3206523734
275,3215712511
276,3215663541
277,3215625625
278,3215526466
279,3215425337
280,3214132912
281,3214120036
282,3214056592
283,3203719600
284,3203731568
285,3215959749
286,3215898880
287,3215907965
288,3215884748
289,3215850083
290,3215984441
291,3215983094
292,3215981585
293,3215950611
294,3215919233
295,3214746798
296,3214735256
297,3214237696
298,3214273356
299,3214075787
300,3211010175
301,3210967176
302,3207671724
303,3207670378
304,3207611811
305,3206913902
306,3206910587
307,3206838017
308,3206833628
309,3206828790
310,3214836561
311,3214853049
312,3214840774
313,3214808539
314,3212305948
315,3122673485
316,3122671805
317,3083086134
318,3083037551
319,3083023255
320,3165349322
321,3165337512
322,3165324219
323,3165274693
324,3165229732
325,3215769686
326,3215646810
327,3215378134
328,3215365242
329,3215119086
330,3208354091
331,3200106045
332,3200110245
333,3199950977
334,3199922790
335,3203332848
336,3203307838
337,3203313691
338,3203319803
339,3202258981
340,3135337245
341,3135309720
342,3131384534
343,3131344797
344,3131330648
345,3199711077
346,3199669532
347,3199678138
348,3199657741
349,3171822241
350,3215379923
351,3215143663
352,3214955079
353,3214961675
354,3214835840
355,3153015204
356,3149804793
357,3146307544
358,3146269375
359,3146196010
360,3212374004
361,3212351126
362,3212328755
363,3212317373
364,3211135006
365,3214866303
366,3214852604
367,3214830124
368,3214788228
369,3214042810
370,3215936359
371,3215934909
372,3215910353
373,3215876621
374,3215862013
375,3208885115
376,3208729953
377,3208542286
378,3208487430
379,3208392100
380,3213715973
381,3212822416
382,3212775682
383,3212749983
384,3212714460
385,3213231780
386,3213178015
387,3213174642
388,3213075518
389,3213070121
390,3203298330
391,3203285046
392,3203281383
393,3203248826
394,3201229815
395,3055732433
396,3007055702
397,3007034350
398,3007042585
399,3007032298
400,3207938182
401,3207923152
402,3207846555
403,3207817889
404,3207791413
405,3020338223
406,3017628204
407,3017533763
408,3017492566
409,3017372297
410,3215421385
411,3200681878
412,3200536565
413,3194739689
414,3194775154
415,3073254380
416,3073234038
417,3073169498
418,3072555436
419,3072529484
420,2986047459
421,2986027895
422,2985993010
423,2985969242
424,2985975259
425,3184394267
426,3184339158
427,3184343459
428,3184330211
429,3184237428
430,3215394147
431,3214504299
432,3214467600
433,3212703769
434,3211672693
435,3208607140
436,3208495137
437,3208500573
438,3208447156
439,3202694622
440,3214245017
441,3214239751
442,3214204904
443,3214171255
444,3213782934
445,3112283170
446,3111547273
447,3111523739
448,3111456455
449,3111426589
450,3215014414
451,3209778428
452,3209568592
453,3209563930
454,3209550523
455,3107296300
456,3107283723
457,3070298704
458,3070288898
459,3054974974
460,3034787448
461,3034784984
462,3034791974
463,3033819046
464,3033822500
465,3213343991
466,3212634622
467,3211452125
468,3211248108
469,3201419690
470,3215421841
471,3215356922
472,3215362806
473,3200135631
474,3200099059
475,3205647893
476,3199894862
477,3199910768
478,3197435329
479,3197358964
480,3201051061
481,3122749368
482,3122751799
483,3122724162
484,3122722447
485,3167261046
486,3166728655
487,3166723641
488,3166686327
489,3166690816
490,3025226122
491,3019143489
492,3018470711
493,3018446645
494,3018419608
495,3204821953
496,3203519614
497,3203359454
498,3203345430
499,3203328673
