,summonerId,summonerName,accountId,puuid
0,9Sm8KX_HB8db16meqOVAvCYx0_sEsHX7DX1o_-34aOGs9gw,slowking07,tlgpbQhEY5cmHbdNWFFUIIvUrVdHaLzs9cipV6X0dFm-IuY,O8WbNhiKIGHFkdrGAK78Nh_wQ2m3tQzXHC6d2_E7utPpCBaYwI9InbNAy821ujqn6dFjGL2TSXJ5JQ
1,IoGeLkdED8ROggXHzfXNtQnSryMlRYCGj0ru4o4LaVbd4Qk,Demons in NA,WFkdzymJ8Lu2cbmPzeONEtj1WmCnHDVnfir9sdIs3O8hYGs,WBhiWVUXa8ZCaHMGGAZ4xV4iIeD62HS3IMVkI6HHb9K-E2tz3CS16rfL1VQsv2A411cu9gdD-9N9BA
2,E5wBxnRVBFZaDGCnV3isrzUd3OF0PA-I075yOP-_DKj1Hrg,fakherindabussy,Qc-7WduoYf0tJQY9soX2GlNku9RCuGhfe094Emlu6E3b_b8,nsH4zOCxGSqEi_xjEFRpOp73cz5rB34SWQshUQRAVYGJF2s4DtkoCog815-nTR3PGNAApwxSt96LZw
3,d1O4U3NkP2mWCzQP5c7kb_epg3-knZuTfTE45rrWZ-ZIIRU,Jalisa,ipncgdp8DeM6BT3ZSh7Jl8-z_IpuuOq6kItb7qZfxkD13bM,hWD6bng1dJvbpjyIgXAHsGnR2Z6BcIBlgM4h8tsboYjXCDeAPz5wJGyt782LGux900F6PZ5xFQ-q6w
4,Ve9gHHeo5sRetRPU68rQM2SqTuRnd8WvHbZNGm8y0Dtd-P0,ItzDanny,ehwsld2cKuXVElCt5piEYXrBiC3KNRIB9Q-vw1bNyFjDZ5I,cA-VPjDobJ8Yf6-mXhJMU8TYCjeqFlYI1-3qIlkMmjZb7J6dTRQBCHd251ryuIXxs9ps7sdU1yTkfQ
5,7cgfJ7Vz563E2D6Hcnn1Yl-zm0QUA4ZSedQRlPlJ781H5V8,CH3RNOBYL,24gNJTWnxCKJjeK7-fmIW29S-Wlwj2qWjbe5VXwjX-LKEP8,Aow0DAfB-WyBjD8FKKbdmZhIauC4oFRTnVGmBBbBhsbpyiNczMcXrAE0Ll40jD9Y3zXJDvObwSz7qA
6,ilNGTKQh9e_l0B9XLSU1OVsXHy3Br8hNgwytZ9K6Ha1b8gA,Soju hanjan,oDq6tOpmEN3aCocK3mpFK7HBen2vxbqwHeU8o8tZZxggOZQ,zadToEH5G9iRyVNr97HIRyjwM6PS4ysCpZ_pDMHjQ2RrnAWHATDt25nQ0Hes6qYHzvMCLnInfs4IXw
7,gMPRolxzbEhizbzBhxLEncok8smGbcT596OAZnaLmpx6ew0,GamerHated2003,lud9YTXFnECxdGsAD3WQv0sMQl0Ku1iT3xX3rn_GRlR25Pw,q9ZhLoAlLUbVon4Q2oMUETuwsOapdu3iTzyDvlT-kNsnU2UYVcqttfkej562lV3Ei13w8rUb9nNSSw
8,iXiMcZWecmaZGuQNbgz0HGVu1U8QMrD5aCaZvp10Y-tMk4w,Fuming Snack,yEWdVb0Ruytoaj4P9Smm9ljfiNdQuTel6yNFjtJW2Xe3DYo,PaUO92fe3I8jQIqrRUFdWtvIm2mzppyCi0NUkmlCa2AHJpQ3KAVRvXi-zeF8iejwdO_WsfDc9FyOTA
9,US5fUzeIswxBL3FVwFE0evxV99kql0L3pfq8W4qRr5AuI2k,CarryingSince96,yorJgx9FQNZpQisReYteg9WygANp9y4h-JiLCbO0lxJbMGQ,DpfBYkR_D6bDDKD5KG8tvoR2O9fLlVPEJ_5vSfNnc5aqKsV4nXeZsF4WMz5qkPFAjWQvUJ9lll4XfA
