,summonerId,summonerName,accountId,puuid
0,LxUbdp0bH8yOBUuILywRN-QcZD9CR394Br_y_KOygBS8hbM,Lilluna,6wwPxRmgYQetvPZzqm0iazFrxNGwil3LDKgW7Ikel39vU94,HGz3Jimm_kR1OhfHOCtGP_7qJmpUh7Qog7zMIblZZTUA-mBdDGpAiCA4ohl74Uv2yVxT4cHFqNNbPw
1,sxzpgtQf_p36AJ8DsRJdx9-6hnMbt7kk_wHr89y3uj8ox4E,21Riven,DRQGFbKsZ6m2hgO1JlU1zKeQ3K9gRLbmS1u1QLhETCRnWe4,zkM-pGqBQmSiNDWtGje0owU0nrZK4Ogqys19kNfdGiA2LLUomjz4fE71DyVjuctzzownzBMiQcTaKw
2,Yusl_zWxP-fDK2RdBoWo5-SaJTqL3xD_LYaCw5tCihXYoaE,SlipperySage,gtGbu8tjASlC6oXlBiOCukdiVwUHKdXegiW15MSfL_KghI0,mOgNLQsojLwECucxoQvdoSzkl3PgL3eiuJyVJnmcnCPlzIdowccrLCBw6fCqECnsTTytUBqnh0rAeA
3,G5sbinpE62ZAb89t9Wro5IOS0Q1aHnXUXz3zkN8uxnu-Im4,SUPcomeback,knKT0w5_2VxJZH9p6hfK2kmTN2NPo9kc-hfm3Ycj_asVpnA,jsT1EwdnKt16f4Bo0DTZmzbVH5tJCJdIK43LdCJnkWmSCvSGF45n9CdSnYyZKMOLq-qnGQ1XDMe2PQ
4,EIULvK6jGrgTps1-ULSwkjL6rVsfYecH9KoQL9FEQFCQfh0,perma banned alt,pvfyHZ9JlsC0LmcFkn6SlS-0ZBPvyTTC185xgnttN78roaU,G08Krv-NvRDK-x40fFNQ-YFhGvmR69hujgEvwpjsrvmAYtK0_-hOg6A7pzWzWsHFUWVij_NIBGZ-iw
5,cRhPKkDvw62CFhbbwl-jVyg2fl89_3Yjf5erfev4Ot1hv9o,LibDestroyer9000,a8PMUxPK9r4sf_rKa-D_M_QRBrDHn7QxWPiK2raCfINCcao,Rvy8rqNuEMBncCB-Fso_T6z1LRvSTQ6-IWUYJeFyCucQAvjxDfLrKGSK4Pm0PiLQg7CjHS_XZ3o7xQ
6,qAFvvOxQ8Rg5ihbvbtqDtAWng3V0BIkCN7NXTFaEQx_lVpc,Gréèn Tea,_aqhuvzXRdOn0MRdcHDT0dscRm47zPVRw90sZnfzfsTAJKM,Dm_LZu2sBuV-44QXEHUqO0TIKgYI7STxtYqlcx5BqfTsyyc5wPfJ1c8ID6c91IpAC8CNtCTBpP44tA
7,jxDz2ChBYJHVNJaILllmb3xix0rLCQuFUplNFNoEz6ke8cc,Luigirat,9omIQTVNgDKjYmefuf8XTAxNLgs8VVb8S-_0NSNh2nxYvF8,PbjAYIkPiVmHCzgHsFAkSYC2ZclZEgTbLxQuenMttNaO6Q9XClCy1qCAvflr7IA3xVlZHjUUFefnwg
8,JCb32oK0BCzt50TvPknwh9bJbpBmy0RZtauOuc_cT2K7gN8,WoTaiNanL3,EzFECwR60h46sRRprt38tPerJlOwOHIRZMUPD3MMCPupD40,-zovFXC0O_WFaSAOND8TSYbCTdRTE1VbIWD-IiDLXplBC8YHJmby6dfqnnd55BVOG2GLDWr-_vHIbA
9,_ripK2HIfhXiPeC6Vtz2y2vJ4lgWQI6vVvDRhrwhHd7qGDY,XxJotimexX,K8oxENtYPqymsqFB3C82NL8ETFd0RfvxmNJbxHakHZ8EvO0,4GZGRUBUJFKLnxL2q3UrPUTfTZZ8UVaXbZGh7biIqkLECo-aU696IDCVEM5TLpyW8BbAH82I23I50g
