,summonerId,summonerName,accountId,puuid
0,Y5wenLAJG4ryiQD6bkOa1usoFyEvRZdARILDwIdiRVHQJrU,Ball Me a River,xpHOKNqChUgg-JgMLYHV3hUP3UkHstG_-dOo9D2oJge42l8,k1jIJ70KCbZrVVuI26U7rXgi34RQ4bgaKvK0OekAzHCPXTcglcXYO7YLyz30mviVX3KyCH-kRsbWcA
1,GasyCoEaG-EvklyoPgUIzG2gf5zG23jQWfq6-FQ6hj4aFpg,Onsm,lyEA6JlEXC_TaWmxvzM9UDJKOjrPG3xJM413vCPb4pMV6gI,p26EMe7707TB-uveJIzMe0dpkp4CHt4unJqKsbg1UrLlfv_MnPR44Zzp1S3i-xBoVVh9B7hDog3oWA
2,tXy0DXghxf4qsIKsLO8WaLKxFSEwpnPje7Vb3Sgf9GbOlQU,Kuroiqi,C27mf2ZI2Dob3xlnDcUkTbvw76vYjJyMd1X3ahy9SJPTFvA,VI7uT4upwNgDjZcBP861SKJnhqJZ6VoJmA_snDxvGiZz9NyeaZaAKBtjwgvLHnrDDNtw5bVMyTFumg
3,4tGeuDv8mKkfV9b2S8EcW8c4TrMH8F0saaSc8NpntPXVzJY,ID Lumenz,T4_tw2w5gEOvliPlOPMA5WBdGkfn51R33cqVgjWv_93sgug,VNr7O_4ZveKSw7-wzuEt4UFpO_4FSDg3U-iULFLc-69tbf2elJrgUH2GWsPf2RRqaYYKPfxj6R5FnA
4,8ctIP0FxzyX_CYWg2WWAisyNFjUKAU4wOrpO5kHu2AK_lSY,C u na la,paZs8baroawl1DAqLZBrTJLQeMWg3WZveneOGcpYLZQVGLs,KUfyTmt8CDjohYfMZV_uKfebvKtJ2-qRliN9mOfJ4WGpfoD2A9Q7xOG85wHZDgLi6ZtMv2QZ-KDCHA
5,9DFIl_F29TNzR7XBc-SOrwkG0-TT3zyKz6PtyQqT79bxPpw,Epk Exile,D0UbC8q4vHswsUibZRUzO2YcwxG-Yxgkz7bSfdVx-P6qa0g,9Pu3wKLa6Q9wCA5tpNV8j5IN_WOlmfZoCBRmMCdn7iobsYQ--eien5qNto7USxFuxKbCetDg5Me4Pg
6,vHvK4lkWRjQglnYG735zNvXsh2mWUghhZyzOR-R43PY-RIo,misteyes,s14VBNT4t0c174UVhZWPz8FQnoiNoFl7qIdd55YF9VpSbiE,AepaLUv3KrJlCTR9lS3vDTk7EZdSQSuMGcpyc2lBZ4J_fW07UYV8BobVUbxc4OpNTFDVWCZsxpCkOA
7,mv2YErJsmywe4C0ioOuomSuaDj_XIK5AhSfZ5WX4UnTA0-c,Meta Slaves,8v52rOWh8Z9kL9Ln0SzLEYCuEPNh7pCaNAebIW-FmllGVIY,LVtd9xdrN7Lk06c3_ab50xhto_v_gaqf7QT1obpgGcE402oPQoRjepWXnxVdFFrQVO8lUtUr4ulOJw
8,Xrdi_FtZfLF25nsG-ZX0laj-bs-9F-xZNdOJYBZ9f2OLNqc,Sins Of Chaos,HesTZaaxzummSZCl7fGjTUjVES3C3C7I9csqQO5gt8jv1yw,k1q32cIGYHndEHlMkJPBQxBAaaYUw-H33eN6gNZU2BVnjAfN6KyQXN7GzfklxcSmjEIkGA1B-81d0Q
9,SIRymLSyUCMrdJvW0YZYsqDKwwIi7cnOzqyKTXswYNmJuDE,Its Gold,9wSXpOj0G7liGFa9LC3m43m9Kbs_Fte2SDUtx4AR4gKCGOo,alDMA_3HYR-W3ONJkaM-oOGYy-2frcRb2_c4A4-OlpBNf8wLVwMbbA99vXOGRMIHQIvhfJkQiEuh9w
10,nfIQslYfPLC30CUJa8SjFZg5wrAYq7L87CdMZOfpinHUqZk,Big Four Happy,-2FyLM60_Peq6TS7j_oFH8FY10f1SxZXg2TjB7C1s6PRWoY,WjCbd46cm7UWQ3jMav07jhWnUc_SZ8ZcqfhcP_p7YBouKL_hGSZE4QGr4zVwap5blhUTs_SO3Fh0yg
11,Ei3Penh6u9xFYQQj-f59cHARPBPrKFaHNsIcfHs9p9NtEPM,LamperDoodle,wnUVlA3N7mGN-nRX0rck6KDodLea4FvWiPQg0wqpcISoE4M,At4G54NhUF8ih9Ul64SGRPx8XzknS9kwYjK-FnepVkAdWN_VSgHbFMfwOpQU8EDsIaWo2Ny8H5wmXw
12,rlfvXstZidekWcsWXIZrGsAazcLvM00mBnjwfJ0qMihA3Bs,Toxicyoshi7,kGOjSU2CEEwIWQtNbiQHkvLjOdiLPGgWUuXYpag7kGS45TA,KxNM-Y2etRYZh6FdDV9e2VaHQXRsd3Yd_rZ5css_ow8iX5xErrjKLkzMLh055YM5Ev7O8GMut5_vMw
13,Q3KBnIZkUcH8Mo0402EX1bEaibVSAWsHrVlY_rDskENDtrs,Gooiercube,nc0gl6oBsdqMMRnZtoKeg5bhmC2xvuG_2zPuT6NDqT4h6x8,fUyUrODO5TNitm8TsUILOPVI56g3v3AA07mLndhqBc0sXeW5ZeXwJsaO88lDCgkvuPE3_mj_tlEM0w
14,d67dIYPjc9gWOPFvpfUo4ZrPR4hy9EIKdw8ZqlnGeZnMQqg,TacoStrudel,yKSlBiUFEg62yyy6bvYjQV5QiBWDka3xyA1IyjdBOcpN-4o,sjBdMIFktmYbnwFbQf8vZMhPEOXIThrd4gkl7XgNjCXhNioM7A6wCt4yVNXXR2mwocwwk3lfnTSuCg
15,191GeCgrlOnRQIUJzNe35Qqfs_QAw6A_Biea-KO07SXwm5s,happy bee emote,9cb9jMlj3bG-vgU33opQ9XTK5JCBvZwE3xBrfIzJERRLnp0,C6EhMFyCiFqk1xrFilhN7u_czFxOHPTBBO1V2JDPqwylVBSGF9vb_-GCPH79NWaCaWf02a3WTGe-Rw
16,Mpv64DnrcBuuKS6zZNUHdP0Vr5Q1v-F18EsFJqy2hwJFkYk,Alois,MIasO7IvCUKW4eA6IulQXgens0NRqFHZXlyBGy2XLgzreIs,2hqaFusxQQs543qyvN9Jm7QlS61XeVih4WUnX35gq0bP0DuG0hHTMHPAywdhC-zIrElrTTge57uEFg
17,rhop0RpmgNgxyMXxcYkZkuHb_0zJT79cMhyh_gtAgNLFfTc,SteeleDom14,vuyDuFsRH0YCCSetE6wnDpkxQjAnOd9D_YDPYCz8iZOMK-0,WRJkM8i7KC9mWDQ6i4kpOpVyqOgVjshfmuCY8dZ1ESJjsTxnZqyJd0cuqruDSR6IxI8dcynMRG42iA
18,ZZaIxrZFwGIWZ8FxJuaG78n11Lw_8wghMEjg-1hpyzKhmOw,scaloface,V08pH6yaMtzeiPLazzNHN5dQ8uc5RGvIGxz8xzGckX9fAk4,qnxUNNyih1iguBXgMkcdtcxppqpRylBcdFukmWgKPBlJj7fhOFNxRuKoaUX2ZMMYnJ0EBHXazmwlxw
19,80-cfmyVIfJjmM6L2_HVW1oWk5q9fPwJhqAlAzsSiBfxt00,Mouses77,NtZlSEwyOeHKsem4kqANET9ztHz9HUt9HXNjqDZTJp_wSqo,jHns1tDw2VfKKkDpZyN6ftYSA9Ph3xybZSiFoXH6rtdriHXV6_tML9neVwtO_Y_XRV9IWtHHmTAWQQ
