,summonerId,summonerName,accountId,puuid
0,9D4Tg_ibNpI_2KbPRddIJuj4_lZvkUQpbvCu36Iy74l-fZI,MMoZi,AEPjwXACOKddKDKiN7n3UCiCe-lK10IGT4OAjktm7WZ4CEM,C6NgPLwkt0vI4YZxrrbroHH1yClscd10uNakEGiKjkDNkOhPPME-k9Qjhok-iILi5g7xJo5tp88AAA
1,ZgvQ2LlZoslHsjTzD5aIdAar_O0dfLqZrOmKCFvVCwTPt0M,LritonX,YA1vieReTng1K231vOwc2Xpm_YeblokoMGl1epSvsFJ7ESU,T1ycqFnc4AHoqmy6sp7zEAfRzfzX9l8FNUtarM8bIEbOba3LNDzLCAckgYGIdPTM5XBHAgDAXIlPEg
2,OP4FRAQ5zBjfDZ_9swZKS1esWToATVVK6utZy77gOq1RYEk,Dreamlike Dream,ZOj5gEpdVZyZMpg7giHa2wU5s0V5GMstH0va4vIapxDJMT8,nsweeLFPpHrPt125bxa5arN8naPt6mQZzog0npUV-IWP0g15ffnQ-K2JT96ItEFkOv4lj_Fd1XdaYw
3,9-H0ZLEnoRZKVYY2vLfpL-OXStHwenYBmZf9LkE5zbSbP4c,Snoozefest,xuTebcvAtrdfC0Vpp0OPgN1P5ziMdYOn_j2RHevDBL-cOnw,fV2XpN0v3seM8q1l3MNBBBrjMXN4AbBWoyOe96FRmPc5v8gjVlNEd6wgctamsNorQEisPhY6tYwbVw
4,i4y7S6wtsswlzt2zbIWYO2zb1Gg8dcgOJTGIb07MpitJtQI,Misfit168,J_gV_mzQXE-cr_vme0FQaFa3vlFav6HvVp6XJu3ZRnLFqYM,HexkjSe5gkdNt3kVwoXgwq7LpUZzelEcm5d0epGaMPlumHVB--E6pI9PTlmPK1Y4lQXdGzkGsu1BWQ
5,NFfr96eg5CKquqmooLlV_-ES6dOxF_dqpuRBMMRw6yHl4Ls,Tony Trang,lRjjE-5RVpaT3z4vPz0vnkLQVIWJPsDKhuCxBzyoTgLXaTA,nKe8ZZWvJVt7Udea967tqVE5ECBGO7eDc8bRsc4cPd8pQntNJCLlKkdXx4rdMnnEqZemAzRgGcYiVw
6,4XEPp4-Y-GTo8zj_Uf3T54qKcKT3c3YgcmPkGjQe3nL7Tfs,cap and bells,Z9f4c3cN4M4gRNLp6L5RtOkd3A8-B1eIxScHlsb34prXxOI,FYaN-EsijMPnkUqlaqXhOM0Y_EYCia9VDZEheLhPoowQ2M3JTUpmDCYBBDWmNJsObLZoGfnPbi1hqQ
7,8WOmmM-0VgdBdalaLvoZJrvKHYWnb-BwsP7lyBvWJER4cUo,SS Slyther,QUjj9CcWBBv65VVCkfi3liT2cmLeK4PFbcqblHYwC26PPGM,pm047QEsAbb4y2eg2ofxe7ErxOarlbkOJeB5X224b8_LBICC4745ISH2Np9xfq6-s03uD2P7T29iwA
8,hBnRMkBxkGpbEoVuTRsPK_zwDorZAQxSXbKwrdqp0tBXIA4,Ho Li Schitt,5PR98svDU0Qa7BYLon3_mkz8Hb3oL1iiRGzvUOkJ_q_Wnrs,xSawXjV--m5XEXSdXtz949SgDWEZIfGQtEdTSLEtLvkV8KuAttVHhquMGUaHy9ZHb2KykX9wctZuMw
9,HFzZbhXv4hSEUSJf28_fQdpfr-M6S0-Bbkx4hzoRuhHDYzE,ohAltered,zG62QD1wIdNvhQhfP-IarSLqCWjD9kZ7tHDEsNuuIIEMJ_Y,0SfXzebKtvPWLOop5yM8zxHazJPLCbLVkDWD4H8PZ4YGPKjutZQ6eliQS5eH5Dwlukjmkw4XCan2Dg
10,kuWosqT6FI4ztrQF_fUDE14_QYxg8hsi3QVWiCyqA-SO_G0,Railluminati,CvT4ULqxtkZ3MJr1HgGMrW9Us0ZiAhYVGQAN0VyYVPqB4xs,sFm2h-AginK3xMVwWTPPodlrV4PIMwodZJ29CtepEQKhjZjO-NW1r6lxqvxw9ZNO3pmRuR8i7WPWCQ
11,rEdY96kwxW1wkr6OBNlPYdqSPHoK_JaS9RQZCbx8mDLkNwY,ACE IRONHEADBABY,fUkxUVwRxPaNKCkpk7MjVOf3KEsiyEhGPeQtdmhmY-ShVIk,8HgUUYy8xJ93QNTzj-Xm_75BEDXN9e02c1lsiovsBg3c4H27i50WEXgfjUFi-WSPvVqNTMAQ8gspRQ
12,ThZlrHHkKo0N19AWlyE4_eHlBS8axmPt_G3MSy2MK5ClxLE,PhillyG,oXa37PYzdIjDVmKzjmpwc1yifxuo-aYl_zpZddx81v6joA4,91kyoMPHnbW-wlzAQEhYwjX6628AU11dI_SBdJSVFgqdxv0SimDiEQpsoNMNsMUwrLnhIEN64FAHIA
