,summonerId,summonerName,accountId,puuid
0,vUmfnwYdxKe9irUtDd7Bs0mDhE9yS9Q55SaozNGEXY89h3s,Xerogravitii,dZcPLALd_4vkF6pHxunoxPeJoH3Qk7LzQ6gJVhtI_O6d6-M,oIqQAK928o_bJZk57xgMJaPYSrXsh4AUnD-8FCtxsy34mcxB1a_EnoLSojLJG5O7gi1Sm0jnZIwfeg
1,2yBPaQy4uJmlzXCJuuagePtWQPifLQfkUNKppt9vg1Raul4,9oo,602Yj8Ex5S5l4fN7JPr6GjAlxAfVwwXldxAEF8kLjf6kE2g,VHHSKCtTZSIf1BE7mfhZr3Z2EURbghEY6SWpeZkpdSV3Qrq2bLer49rwXq_tyQE6lw51ywtQh8NLoQ
2,GoBOzMW8ZbgDIc6IUChVfhYyVsKYaPXgny97QrpxV-Mz5yQ,SayTooMuchMuted,dmjWjg399hUJESrLwT--NCabx2HBILLFtAtE1Agat-uFlmI,zkdD4Utf921XJY6SYtv7LXu_MQ2s3EplLlFRJSiUUPV_Q772sAtZWUQTju--jKGGGaQY8vJpi0pUFA
3,C2SKrr0R6o3fW6R9s1Pt7G19p-DT0BvgTE8o6fxVAZTSopQ,âpple,v5ymRR86XTY4d2096WW3FHJMHtwifIXFlE7u2xmtTjcnwrw,uoJtUVqcbIA62ZPyfCB4Q6ACUmjX3QoR0mftQD0MCVGUzC0cIGwaNUa_a5VE0M12OzQH2EChXglN2g
4,z1MSRfQqxne19Bo9LvBnI29t1rIphgOGPuxAHPJOezrBT-I,GoodbyeSayonara,1oE-SQ43PcLR6DxNM1k6jKKoa-KlxmjQ1EA6Ab889svlGVE,JCmTi8XkNERmTfhfRQEhuASphvtVLEyU4OwN9U7HuCw9saFdR12Q4SF5NwCx9O0NVZSmx5M2AxElZA
5,CBBuo75B8pC7z03WpII-wK5PmphOl_KMHRFgtDsu65zsBAM,NeonLitPaladin,_fFepPYeLDLw6uo-TurD3QQJdOuwbKyiyHq0bO9dO2D6wDI,Sm-O1-yzPS9sBwm0n9xwMddHc-QFt2mxyPlCrsbmz6BSV5nEyGBWCrnwB79dMGFsyk8FNQNRe5QYfw
6,oxXn8AI8ODAdydfF5OuWWjtM5pA1szSljBWKR3euFfI2WQE,Nahpeas,AqYnTf9Balt8QTvrhF8n-CadKC21RwI8CgBEvcNz-OpbttM,n9foLq6hvqzmDH-oV8lrYKDRelkHRsrRAToroxOo6VZldQAfuf1DA8_0QgswcYLTikov8RCIHBG2ag
7,TzCN5ERcW95WekzS01k0mnWgGOMs-FRvu7rLgBynJPNpyd4,D2JC,yQdH2H1RdguxiUb8oVQu-xcPCJ_b0eSprxXsInTwSobR6aQ,tc35DRskydOJedXi1Z6rtaSBnE4-0TGq8J1QcXBKNgWcmNu_vsP191_DwKq9FaXeajjgsPY4Df0bLg
8,cmBJSR80MqrXyp7YVFns1m1ktB_N5d5ZnhXDNJBrMc7AnIo,Ralois,gfzK1k6fj5ArC5JsJ4cIY0KFgB3p4p_eM-dlc4a5sq0TCQ4,ZJVCb8EcCkuAkHuSfXUxS8W3SXQHtmixWnPHYW5di2N5vifLFIs9VFF7k1o-Z9jfCqIjpobPuP1tAw
9,G3C2vQ41uadVgua70Rj3hCZ_vSK4PkcwWfX_UI-aNVQ_qm0,Olixiar,JN_w2Be5bdPiu7VDHorFMZgLEv2RGQGR4ZIVYjT3E7pu_xE,SHL1i_QUXikAhOQoqD3Zg27I5FTeEEO0XKp5E6yoBDvI5XydixcOy1ISXaEjOn3QS50xjVmV9a2UyA
10,aEXwYfqSdwjLN3VANjuJQoIsmSVoAQ3X3gDyvMayLYDxBkY,arnoldftballhead,Fc8Di0E5MOYj11NlIXul-cof8ZjpXJc_ftUudCLyPvfyKN0,qVzmDmRG72RkOxFpwLYSGhc40fSKFk4VYWgc_4pkuk8q95TIm5vbJVUdlzCfYg4fT6JHLc6QfGIPhA
11,5Hxcx5OjuRF6gHqVSwNcqG8aMWKu3-XBz34fSw35kYJ2DY4,LanaDelFlay,GXLomiit_NOCm3YQVNNhzvSYzPwecyaOhYGKvhPV-2Qrg5o,R2dbpD_rNyoKCygVtvyw3Sb8Gl1sJ04byCPuL7K_YeLH4SHII9M9h0XAxGHUN9xfnAAejgKtd08MAA
12,NU_nYoJ_hBMDclqSR1mFK_Nrcec-Gznk6rUjIw4zHToptso,YourBoyLovesMe,TtY90Z83dAq0MBod4-Z_uod8hL5eVUsZA_5hw7FNg8R1QHY,UNtc-ucZFVQULfLQpr0P9pKOyqCWRb8NKdT68BzYlboMdnD-2G3Q-TYBW3MniXTm_IQY8kikuZGRAw
13,MuiJyXQMKai7-tNG7BDv8Q1QddW8JREKKmtSXP3DluvF0wo,imignacz,xxHnTrpPyBYjFTS3JS7ezNrYseScYGcb62HaLQiC6MvLLdg,ZYNyVQUbfZZg_Nqw8mPxArNJGU85ppPfgzlcU8CiDyBlZtgcCx_-DRGVPTFlnD6e-xhYPYl6RjuePA
14,RphMCGfkcAS1XNZ9HZrwucza4EdtXDEB9Nj4iiRYdvD8XUE,krusher691,nGLhP_VBB4o9F3xrSuaHVs4iQ-Nc7LMFbJ7OYFeQFUuUXKs,JmmUmCih1OS7hET0cEMjxqL9d4uZr-863c6jSD4U2NhJJ8w1Gum5cqe2AmK4JPx2xmv9E4HgaWlpxg
15,Q9tmbB0gVA_nSbmVH-hh-T-ZwtUAUc3YB98X7nkgJ42PpEk,Rockenmeow,q1ysy4brMDzjbAq0aEfnBqREAUvxSBz27SMi7F60o3zW3kQ,BLAOg7nA0S29vIosubxAu4kJ61kujRK-s4u9Dydl6WDk8r1FmiYRLgz79mrUPWnfIMW1a1i--erl3w
16,uNiJzEJtHxBBzzXM2Qh3FQXjeM5dJtbXZJktoQ7PWbT5oig,HORRIBLE ADC LOL,3xQborbBH86eTQuY5qgU5Z_KV-AidE__h7yhzMwVMuW0rng,jtvCLkaYKKOG_GuIO2QyVGGqhizeiC1Evih4FgObhjsPqZn6USuU0QG42wohIDCHVt37nEOT5r-RAA
17,8pmJeYy8neVrH0DKCNS9BmHUgecYttZcWGWXALxz774mAjY,Beelix,sQi1owTXP7Qhpyk5dCXydLF_TJGpeAlKGx8qO08Is4OU990,gWiP4_jDXzvgUyzVed6X6OZ8Znv_suwmlf_hJSts6X4ufdoKgDXx-vzfsSXt1QgJK6aXDh4qtvE8rQ
18,sCG_ujbrKjQb1cPXiAlyKHN0nyb3i2fCB11-3bnToD3oqY4,Ripe Aroni,dK2vpiYi4W1BApei9W5DgoiJvm7yIyUxX5YAOnZyoorG45g,JCMS3_oNbbKgELyahVvv8W-GjGX3ydRd86plT_kHk4eL-VfmyEJKvys6EgOHuJ3qMF0_2puoh8Vo-w
19,ZM6OY8iecA98AnxpNxBugJ3K-U7NYU7Gmjtos7cLNlafx7A,OP Smilexixi,qCvtq6ry40wiojAN2ibdfn2nTeR-PvfryYa1ygF_lcS-kpk,bQ5RcfRprH3WbEyZveHEAnntSTB-6hCQW65r5BaDdjDiztFK68pm3buXQT7szWNcGvJouj6bchZ9JA
20,79qlpvQMdoeOTKGEVF9zXDKXYIkWelUIS2CVvHIYkiLehVg,IneedJinX,PxFGNuxuSztOeRO-1B3LD54ofZDsEfSkkmbU8Yb5GZbLz6E,gB6W6YPItIjLKuiVN87R9OI53tEMm2rc-XaadkxTzJYGjL4vAYr6Fcu_KKD8fapbmsF0bm79Nbb2dA
21,bX1hPsjK9IMkYO9oC2dPazh52R2GuOckJtWkdidsVqzF6lQ,JIM RESTAURANT,_hgdKcJDxtF6MIw_H-fdHSInLt95H5hxdIILNTlomdsRRjU,frb1KGWsYPCcFt7IUxUjD9_PreUhgQVY1KolD-zCkW5aOC8tC_mu64Wp3v9YLFeAsvuJT2_Igf_bsQ
22,z6T5JjynA04xkK_GrYpw28mhSHXT2vJBxEmhjmpnrbdHOKs,Hi I am Faker,9BTU9qBQP9_D9r0cBJTyFWlBpO4Z3KPd0IQgUA-sIMjnUec,s_srLngb_7guffWew4Wovl7KXJ1s2KZqqbnq8UZY2KnL7crZc21LVqoFzZ3z_szv1P5QkFuWL401Pw
23,KgRVd2Zl3ketaZtyJ4-taCUJ5hbxThvpuxiQBku6toru8OQ,savannahd,LUIawuWQ7UM1kBR37gzGY2dFjlOrqlX-odY3dM9QtNV-5-4,vRmJq6jqtM5f7wPfAYHFhm51-QAHxuY4jABkUF7dKXclzWFwXjbSejUrz7zSsQSzT0Fe9ysO2Yqwww
24,W1oBH1cicmhAiBHVIKSctWKWJnBPVqfLsddJNtWmciQ8jG8,MarmotZ,KKEng3HCR4jksuFOHJKWFopUrOL-i-uZtD-pozDMRl8K4lA,23AtoM0UzUkyyBs0tRO9Hd6ZPId1aVPHc2KLlRCE41ry1eJ0J8vYuD1JBIJ9JX2jYZt6JvTujoK1BQ
25,1YWYext648DQRpnUm1e_NYmr1xrPVy0V_PAA5UxPVt8XPwk,BoyGodStanley,qEgIbLxBZj0GVLDcJ2UnyME9LqwcqGsAGIiCzBXa11AixKQ,0p7rzrBUqDhnZU9yoEK1vjkYjGmQvVwfKFZYFvSR8XnFLW3rrV_vmA9Dag-p5iM4gA7_Pa85Sk0zaQ
26,V9qsxuuRl_Z190hDX9qTK_7TUth5Nap3mQ12ac6Iv0443YY,Cute Angel,0daMTW_lXyttFw4ue6E7AtYsbtuShujTIhFHlYuUWSGgi78,qSFO3tjYFBw7Cua0mFcKFV-OZsRghXZJJdSyzBxu9JMwRwvLDitkiSNpzxuj3wnd_VrtVzfBhd6mfg
27,Fn8Kj0e8tcUsstFxWeG-MiIutep6ZOB-3HLPCI522ppuDNU,Páx Jax,I_l0buPV24mM0Zkm85qNN15U4wWTta2XQklCUjndMEWaMhg,TLzJMhSy7EGE_CGPc7SpVsr5FpKiVx_1y7gAFfMNKZPuGkyeLng3M7H1pEZ6r6UpKBYExIOzSrhWbg
28,vZYuqi8B14xspT2RSHdTel5y20AbqHrhwvonn4PvKg,Azubu Livingston,OQRh7YEnaKCoGH9eZmtqLkd9dTo34G6ieHNntTzJ0A,IOXBqqXhhv5o81rDgHF5CJYn9wE_XGR_b2b6GZV6SeEWPLGux9KQa0nxreqZWQm_JlJoC4wcl2ZJeQ
29,oCdVjPpc4qo-p8YwNnCTrUuVfPIxoWPbvxqZawdn_jL6CZg,Don Vizzini,e09ZetDgUbSDKecP7kV7gpyY-07jJSophafwSE44a2OxSNg,IFFhLuqNnICJQmqgxojtmHSc6UeU47lV4FfGE02QWRqZJrQuAraHa74I4tdfUFdgAaN_WTlE7NAxLQ
